product_id,date,category,demand_class,base_daily_demand,annual_growth_rate,noise_std,seasonality_strength,year,month,quarter,week,day_of_week,day_of_month,days_since_start,is_weekend,month_name,weekday_multiplier,day_of_year,annual_seasonality,combined_seasonality,product_trend_multiplier,product_seasonality_multiplier,expected_demand,event_multiplier,event_adjusted_demand,noise_factor,actual,rolling_mean_28,rolling_std_28,rolling_mean_7,rolling_std_7,residual_median,residual_robust_std,residual_pct_median,residual_pct_robust_std,historical_residual_count,current_baseline,current_residual,current_deviation_pct,current_z_score,abs_z_score,anomaly_direction,anomaly_severity,is_anomaly,recommended_action,business_impact_score,severity_weight,priority_score,priority_rank
P00648,2026-12-31,Office Supplies,Intermittent,460.88,0.0179102319144489,0.1,0.3,2026,12,4,53,3,31,729,False,December,1.02,365,1.0000000000000002,1.0200000000000002,1.0360908488503728,1.006,480.3786317206688,1.0,480.3786317206688,0.8523222132818543,409,222.64285714285714,244.58903011131486,67.57142857142857,178.77719573336418,0.0,1.0,0.0,0.01,90,222.64285714285714,186.35714285714286,0.83702277831248,186.35714285714286,186.35714285714286,Demand Spike,Critical,True,Immediate supply review; assess stockout exposure,1121.153859260929,4,4484.615437043716,1
P01057,2026-12-31,Office Supplies,Intermittent,194.59,0.0267188288931126,0.1,0.3,2026,12,4,53,3,31,729,False,December,1.02,365,1.0000000000000002,1.0200000000000002,1.054075402960457,1.006,206.3432078580478,1.0,206.3432078580478,1.0872562657144271,224,57.57142857142857,93.24457230611482,33.0,87.30979326513145,0.0,1.0,0.0,0.01,90,57.57142857142857,166.42857142857144,2.8908188585607943,166.42857142857144,166.42857142857144,Demand Spike,Critical,True,Immediate supply review; assess stockout exposure,901.3938526525928,4,3605.5754106103714,2
P00943,2026-12-31,Office Supplies,Intermittent,84.68,0.0151420388351864,0.1,0.3,2026,12,4,53,3,31,729,False,December,1.02,365,1.0000000000000002,1.0200000000000002,1.0304709294353258,1.006,87.7838399744109,1.0,87.7838399744109,1.076222955477277,94,30.464285714285715,42.06122710284166,49.857142857142854,46.91989120273186,0.0,1.0,0.0,0.01,90,30.464285714285715,63.535714285714285,2.085580304806565,63.535714285714285,63.535714285714285,Demand Spike,Critical,True,Immediate supply review; assess stockout exposure,289.33382107704864,4,1157.3352843081946,3
P00087,2026-12-31,Office Supplies,Intermittent,68.81,0.0229606178338064,0.1,0.3,2026,12,4,53,3,31,729,False,December,1.02,365,1.0000000000000002,1.0200000000000002,1.046383344334822,1.006,72.43364775122119,1.0,72.43364775122119,0.9843121544435814,71,12.571428571428571,27.75478413405595,10.428571428571429,27.59140652967349,0.0,1.0,0.0,0.01,90,12.571428571428571,58.42857142857143,4.647727272727273,58.42857142857143,58.42857142857143,Demand Spike,Critical,True,Immediate supply review; assess stockout exposure,249.87949181108095,4,999.5179672443238,4
P01338,2026-12-31,Office Supplies,Intermittent,157.22,0.0180228242431291,0.1,0.3,2026,12,4,53,3,31,729,False,December,1.02,365,1.0000000000000002,1.0200000000000002,1.036319754112158,1.006,163.90777289196257,1.0,163.90777289196257,1.185564901627686,194,82.28571428571429,85.00625560547583,99.42857142857143,93.9181507889665,0.0,3.7064999999999997,0.0,0.022879629629629628,90,82.28571428571429,111.71428571428571,1.3576388888888886,30.140101366325567,30.140101366325567,Demand Spike,Critical,True,Immediate supply review; assess stockout exposure,158.9287411997013,4,635.7149647988052,5
P01925,2026-12-31,Office Supplies,Intermittent,364.23,0.0294197331277084,0.1,0.3,2026,12,4,53,3,31,729,False,December,1.02,365,1.0000000000000002,1.0200000000000002,1.0596208082681795,1.006,388.2613611174922,1.0,388.2613611174922,0.901148651026748,350,122.57142857142857,182.8479288353168,0.0,0.0,0.0,10.3782,0.0,0.02531268292682927,90,122.57142857142857,227.42857142857144,1.8554778554778557,21.914067124219176,21.914067124219176,Demand Spike,Critical,True,Immediate supply review; assess stockout exposure,128.43366270173,4,513.73465080692,6
P00215,2026-12-31,Office Supplies,Intermittent,360.89,0.0212179221347535,0.1,0.3,2026,12,4,53,3,31,729,False,December,1.02,365,1.0000000000000002,1.0200000000000002,1.0428260561055034,1.006,378.6035683602426,1.0,378.6035683602426,1.0355911334452248,392,103.10714285714286,167.2694298708288,110.0,190.24457942343594,0.0,17.049899999999997,0.0,0.0439485634748325,90,103.10714285714286,288.8928571428571,2.801870453758226,16.943961967099934,16.943961967099934,Demand Spike,Critical,True,Immediate supply review; assess stockout exposure,101.22000286220879,4,404.88001144883515,7
P01860,2026-12-31,Office Supplies,Intermittent,448.18,0.0228490677161613,0.1,0.3,2026,12,4,53,3,31,729,False,December,1.02,365,1.0000000000000002,1.0200000000000002,1.046155460780083,1.006,471.6791501388921,1.0,471.6791501388921,0.9324219842992592,440,195.39285714285714,231.72818356471242,183.57142857142858,230.46319817768253,0.0,20.7564,0.0,0.04877915350184307,90,195.39285714285714,244.60714285714286,1.2518735148967282,11.784661254222451,11.784661254222451,Demand Spike,Critical,True,Immediate supply review; assess stockout exposure,71.75733121890022,4,287.0293248756009,8
P01404,2026-12-31,Office Supplies,Intermittent,450.53,0.023640201506564,0.1,0.3,2026,12,4,53,3,31,729,False,December,1.02,365,1.0000000000000002,1.0200000000000002,1.0477721879358644,1.006,474.8851206537294,1.0,474.8851206537294,1.2236735273652906,581,193.32142857142858,246.86944421449235,283.0,266.7339498451592,0.0,40.0302,0.0,0.09551602145065956,90,193.32142857142858,387.67857142857144,2.0053574727507852,9.684652373172542,9.684652373172542,Demand Spike,Critical,True,Immediate supply review; assess stockout exposure,61.65705313035512,4,246.6282125214205,9
P01905,2026-12-31,Office Supplies,Intermittent,468.79,0.0245733782731232,0.1,0.3,2026,12,4,53,3,31,729,False,December,1.02,365,1.0000000000000002,1.0200000000000002,1.049680790415806,1.006,495.0323368854599,1.0,495.0323368854599,0.8757995841677049,434,165.53571428571428,246.40939768978242,222.85714285714286,280.546745107613,0.0,30.3933,0.0,0.06576275622305659,90,165.53571428571428,268.4642857142857,1.6217907227615966,8.8330087787205,8.8330087787205,Demand Spike,Critical,True,Immediate supply review; assess stockout exposure,53.66358482637109,4,214.65433930548437,10
