product_id,scenario,risk_class,primary_risk_driver,contingency_severity,contingency_impact_score,lost_sales_exposure,cost_change_vs_optimized,fill_rate_change_vs_optimized,additional_safety_stock_required,contingency_reorder_point,contingency_order_quantity,contingency_order_coverage_days,contingency_action,contingency_confidence
P00420,Combined Stress,Low,Supplier,Critical,0.9205,1689.0,8011.19,-0.031,602,5062,8953,21.75,Activate supplier contingency and increase inventory buffer,High
P01600,Combined Stress,Low,Demand Volatility,Critical,0.9113,1649.0,8074.4,-0.031,604,5867,12434,43.5,Activate demand contingency and increase safety stock,High
P00842,Combined Stress,Low,Supplier,Critical,0.8837,1382.0,9906.44,-0.031,772,7309,39369,65.25,Activate supplier contingency and increase inventory buffer,High
P01255,Combined Stress,Low,Demand Volatility,High,0.8056,1185.0,9115.1,-0.031,684,7244,38145,63.0,Increase safety stock for demand stress,High
P00070,Combined Stress,Low,Supplier,High,0.7953,1393.0,6511.3,-0.031,505,5447,5641,21.0,Prepare alternate supplier and increase inventory buffer,High
P00649,Combined Stress,Low,Demand Volatility,High,0.7812,1249.0,7520.14,-0.031,607,6177,21579,42.0,Increase safety stock for demand stress,High
P00470,Combined Stress,Low,Demand Volatility,High,0.7703,1293.0,6618.72,-0.031,495,5442,11296,42.0,Increase safety stock for demand stress,High
P01612,Combined Stress,Low,Demand Volatility,High,0.7703,1107.0,8633.1,-0.031,650,6917,36470,63.0,Increase safety stock for demand stress,High
P00852,Combined Stress,Low,Demand Volatility,High,0.7592,1183.0,7405.46,-0.031,584,5981,20918,42.0,Increase safety stock for demand stress,High
P00572,Combined Stress,Low,Supplier,High,0.745,1017.0,8642.07,-0.031,689,7492,39541,63.0,Prepare alternate supplier and increase inventory buffer,High
P01207,Combined Stress,Low,Demand Volatility,High,0.7444,1118.0,7547.36,-0.031,678,7246,25464,42.0,Increase safety stock for demand stress,High
P00419,Combined Stress,Low,Supplier,High,0.7422,1023.0,8457.6,-0.031,662,7164,37820,63.0,Prepare alternate supplier and increase inventory buffer,High
P00465,Combined Stress,Low,Demand Volatility,High,0.7313,1192.0,6269.18,-0.031,408,3727,12831,42.0,Increase safety stock for demand stress,High
P00595,Combined Stress,Low,Demand Volatility,High,0.7292,1202.0,6033.89,-0.031,441,4768,9873,42.0,Increase safety stock for demand stress,High
P01772,Combined Stress,Low,Supplier,High,0.7288,1035.0,7850.32,-0.031,588,6208,32681,63.0,Prepare alternate supplier and increase inventory buffer,High
P00183,Combined Stress,Low,Demand Volatility,High,0.7247,1119.0,6768.16,-0.031,418,3934,20397,63.0,Increase safety stock for demand stress,High
P00736,Combined Stress,Low,Demand Volatility,High,0.6949,1094.0,5961.01,-0.031,405,3803,13142,42.0,Increase safety stock for demand stress,High
P01061,Combined Stress,Low,Demand Volatility,High,0.6826,1114.0,5277.4,-0.031,357,3181,5465,21.0,Increase safety stock for demand stress,High
P01036,Combined Stress,Low,Supplier,High,0.6822,1023.0,6243.43,-0.031,496,5066,17723,42.0,Prepare alternate supplier and increase inventory buffer,High
P01108,Combined Stress,Low,Demand Volatility,High,0.6821,1072.0,5714.93,-0.031,436,4988,10450,21.0,Increase safety stock for demand stress,High
P01812,Combined Stress,Low,Demand Volatility,High,0.6627,992.0,5847.52,-0.031,430,4252,14810,42.0,Increase safety stock for demand stress,High
P01147,Combined Stress,Low,Supplier,High,0.6606,1033.0,5321.46,-0.031,454,4507,7852,21.0,Prepare alternate supplier and increase inventory buffer,High
P00231,Combined Stress,Low,Demand Volatility,High,0.6585,888.0,6802.09,-0.031,509,5377,28306,63.0,Increase safety stock for demand stress,High
P01619,Combined Stress,Low,Supplier,High,0.6528,960.0,5817.61,-0.031,369,4044,17964,63.0,Prepare alternate supplier and increase inventory buffer,High
P01959,Combined Stress,Low,Demand Volatility,High,0.6527,975.0,5643.99,-0.031,426,4233,14758,42.0,Increase safety stock for demand stress,High
P00750,Combined Stress,Low,Supplier,High,0.6521,965.0,5742.42,-0.031,348,3739,16588,63.0,Prepare alternate supplier and increase inventory buffer,High
P00759,Combined Stress,Low,Supplier,High,0.6479,1028.0,4854.87,-0.031,308,3074,6307,42.0,Prepare alternate supplier and increase inventory buffer,High
P00316,Combined Stress,Low,Supplier,High,0.6468,852.0,6750.42,-0.031,511,5445,28689,63.0,Prepare alternate supplier and increase inventory buffer,High
P00870,Combined Stress,Low,Demand Volatility,High,0.6458,936.0,5772.98,-0.031,483,5707,17856,63.0,Increase safety stock for demand stress,High
P01595,Combined Stress,Low,Demand Volatility,High,0.6409,763.0,7479.95,-0.031,608,6777,35878,63.0,Increase safety stock for demand stress,High
P00382,Combined Stress,Low,Demand Volatility,High,0.6381,774.0,7253.43,-0.031,614,6832,36146,63.0,Increase safety stock for demand stress,High
P01782,Combined Stress,Low,Demand Volatility,High,0.6328,945.0,5198.17,-0.031,350,3293,11388,42.0,Increase safety stock for demand stress,High
P01032,Combined Stress,Low,Demand Volatility,High,0.6306,934.0,5268.6,-0.031,374,4160,12341,42.0,Increase safety stock for demand stress,High
P00720,Combined Stress,Low,Demand Volatility,High,0.6305,926.0,5347.54,-0.031,576,6187,10881,21.0,Increase safety stock for demand stress,High
P01896,Combined Stress,Low,Demand Volatility,High,0.6225,775.0,6665.08,-0.031,522,5667,29909,63.0,Increase safety stock for demand stress,High
P01109,Combined Stress,Low,Supplier,High,0.6164,813.0,6032.0,-0.031,443,4634,24379,63.0,Prepare alternate supplier and increase inventory buffer,High
P01300,Combined Stress,Low,Demand Volatility,High,0.6154,862.0,5462.29,-0.031,454,4715,16515,42.0,Increase safety stock for demand stress,High
P01557,Combined Stress,Low,Demand Volatility,High,0.6103,882.0,5062.85,-0.031,379,4302,12788,42.0,Increase safety stock for demand stress,High
P01409,Combined Stress,Low,Supplier,High,0.6094,908.0,4698.62,-0.031,303,3169,9344,42.0,Prepare alternate supplier and increase inventory buffer,High
P01192,Combined Stress,Low,Supplier,High,0.6079,872.0,5087.45,-0.031,372,4203,12483,42.0,Prepare alternate supplier and increase inventory buffer,High
P00887,Combined Stress,Low,Demand Volatility,High,0.6064,903.0,4700.23,-0.031,401,4014,7009,21.0,Increase safety stock for demand stress,High
P01794,Combined Stress,Low,Demand Volatility,High,0.6048,791.0,5826.32,-0.031,434,4555,23974,63.0,Increase safety stock for demand stress,High
P01979,Combined Stress,Low,Demand Volatility,High,0.6009,857.0,4987.73,-0.031,375,3704,12878,42.0,Increase safety stock for demand stress,High
P00208,Combined Stress,Low,Supplier,High,0.5999,820.0,5325.73,-0.031,455,4776,16747,42.0,Prepare alternate supplier and increase inventory buffer,High
P01307,Combined Stress,Low,Demand Volatility,High,0.5985,779.0,5715.69,-0.031,420,4383,23047,63.0,Increase safety stock for demand stress,High
P01819,Combined Stress,Low,Demand Volatility,High,0.5983,836.0,5099.4,-0.031,398,4045,14149,42.0,Increase safety stock for demand stress,High
P01243,Combined Stress,Low,Demand Volatility,High,0.5978,863.0,4805.71,-0.031,468,4889,8570,21.0,Increase safety stock for demand stress,High
P01268,Combined Stress,Low,Demand Volatility,High,0.5962,887.0,4480.44,-0.031,360,4018,5960,21.0,Increase safety stock for demand stress,High
P01997,Combined Stress,Low,Supplier,High,0.5922,870.0,4511.51,-0.031,341,3759,7793,42.0,Prepare alternate supplier and increase inventory buffer,High
P00102,Combined Stress,Low,Demand Volatility,High,0.5808,731.0,5559.67,-0.031,406,4262,22426,63.0,Increase safety stock for demand stress,High
P00873,Combined Stress,Low,Demand Volatility,High,0.5776,731.0,5446.39,-0.031,396,4136,21756,63.0,Increase safety stock for demand stress,High
P01181,Combined Stress,Low,Demand Volatility,High,0.5741,780.0,4802.48,-0.031,387,3946,13769,42.0,Increase safety stock for demand stress,High
P01719,Combined Stress,Low,Demand Volatility,High,0.5731,815.0,4384.71,-0.031,371,4276,8910,42.0,Increase safety stock for demand stress,High
P00095,Combined Stress,Low,Demand Volatility,High,0.5708,786.0,4621.73,-0.031,403,4895,10314,21.0,Increase safety stock for demand stress,High
P01751,Combined Stress,Low,Demand Volatility,High,0.5705,714.0,5378.2,-0.031,396,4160,21898,63.0,Increase safety stock for demand stress,High
