product_id,risk_class,primary_risk_driver,scenario_demand_multiplier,scenario_supplier_delay,scenario_supplier_delay_rate,scenario_safety_stock,scenario_reorder_point,scenario_order_quantity,scenario_purchase_quantity,scenario_purchase_orders,scenario_inventory_days,scenario_fill_rate,scenario_stockout_rate,scenario_lost_sales,scenario_total_cost,cost_change_vs_optimized,cost_savings_vs_optimized,lost_sales_change_vs_optimized,lost_sales_increase_vs_optimized,fill_rate_change_vs_optimized,inventory_days_change_vs_optimized,scenario_severity,scenario_recommendation,scenario,decision_impact_score,urgency_score,recommendation_confidence,management_decision,scenario_cost,optimized_total_cost_base,optimized_lost_sales_base,optimized_fill_rate_base,optimized_safety_stock_base,optimized_order_quantity_base,optimized_inventory_days_base,lost_sales_increase_pct,cost_increase_pct,supplier_exposure,supplier_exposure_score,baseline_risk_score,scenario_exposure_score,exposure_class,economic_exposure,recommended_buffer_rate,stress_adjusted_safety_stock,additional_safety_stock_required,stress_adjusted_order_quantity,additional_order_quantity_required,action_priority,risk_scenario_relationship,scenario_rationale,decision_confidence,scenario_opportunity_score,final_decision_score,scenario_rank,category,demand_class,optimized_service_level,optimized_safety_stock,optimized_reorder_point,optimized_order_quantity,optimized_order_coverage_days,optimized_fill_rate,optimized_stockout_rate,optimized_lost_sales,optimized_inventory_days,optimized_total_cost,optimized_supplier_delay_rate,optimized_average_supplier_delay,contingency_severity,scenario_type,contingency_multiplier,lost_sales_exposure,calculated_additional_safety_stock,contingency_reorder_point,contingency_order_quantity,contingency_order_coverage_days,inventory_buffer_days,contingency_action,contingency_recommendation,decision_urgency,contingency_confidence,executive_contingency_decision,contingency_inventory_cost,contingency_impact_score,contingency_policy_change,severity_rank
P00420,Low,Supplier,1.2,0.299,0.1383,1201.25,6957.6,7408.8,348213.6,57.0,12.6141,0.9544,0.0488,6064.0,61605.2324,8011.19,-8011.1924,1689.0,1689.0,-0.031,2.0841,Severe,Immediate supplier contingency planning,Combined Stress,0.0269,0.1605,Low,Reduce order quantity,61605.23,53594.04,4375.0,0.9854,961.0,6174.0,10.53,0.3861,0.1495,0.024472,0.018714945802214406,0.25,0.7607,Critical exposure,8011.1924,0.3,1249.3,602,8026.200000000001,1852.0,P1 - Immediate,Hidden scenario vulnerability,"Combined Stress creates critical exposure for this product. lost sales increase by 1,689 units, while modeled cost increases by ₹8,011. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Immediate supplier contingency planning. Stress-adjusted safety stock requires approximately 288 additional units.",High,0.7271712881813932,0.6833,4,Office Supplies,Trending,0.9,961.0,4460.0,6174.0,15.0,0.9854,0.0178,4375.0,10.53,53594.04,0.1064,0.23,Critical,Combined stress,0.45000000000000007,1689.0,602,5062,8953,21.75,6.75,Activate supplier contingency and increase inventory buffer,IMMEDIATE: Activate supplier contingency and increase inventory buffer. Prepare approximately 602 additional units of safety stock for Combined Stress.,Immediate,High,"URGENT CONTINGENCY DECISION: Activate supplier contingency and increase inventory buffer. Under Combined Stress, the product is exposed to approximately 1,689 additional lost-sales units and a -3.10% fill-rate change.",5225.722721088435,0.9205,1,1
P01600,Low,Demand Volatility,1.2,0.754,0.1625,1218.75,8210.28,10290.0,246960.0,29.0,22.413,0.9485,0.0502,5921.0,62091.3012,8074.4,-8074.4012,1649.0,1649.0,-0.031,3.703,Severe,Increase safety stock and prepare demand contingency,Combined Stress,0.0305,0.1793,Low,Maintain policy,62091.3,54016.9,4272.0,0.9795,975.0,8575.0,18.71,0.386,0.1495,0.0725,0.05544432701293496,0.25,0.757,Critical exposure,8074.4012,0.3,1267.5,604,11147.5,2572.0,P1 - Immediate,Hidden scenario vulnerability,"Combined Stress creates critical exposure for this product. lost sales increase by 1,649 units, while modeled cost increases by ₹8,074. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock and prepare demand contingency. Stress-adjusted safety stock requires approximately 292 additional units.",High,0.7181092384547154,0.6823,4,Accessories,Volatile,0.9,975.0,5263.0,8575.0,30.0,0.9795,0.0192,4272.0,18.71,54016.9,0.125,0.58,Critical,Combined stress,0.45000000000000007,1649.0,604,5867,12434,43.5,13.5,Activate demand contingency and increase safety stock,IMMEDIATE: Activate demand contingency and increase safety stock. Prepare approximately 604 additional units of safety stock for Combined Stress.,Immediate,High,"URGENT CONTINGENCY DECISION: Activate demand contingency and increase safety stock. Under Combined Stress, the product is exposed to approximately 1,649 additional lost-sales units and a -3.10% fill-rate change.",3804.8055510204085,0.9113,1,1
P00842,Low,Supplier,1.2,0.403,0.1625,1760.0,10197.72,32581.2,521299.2,20.0,29.8401,0.9609,0.042,4963.0,76179.5018,9906.44,-9906.4418,1382.0,1382.0,-0.031,4.9301,Severe,Immediate supplier contingency planning,Combined Stress,0.028,0.1634,Low,Increase order quantity,76179.5,66273.06,3581.0,0.9919,1408.0,27151.0,24.91,0.3859,0.1495,0.03875,0.0296340368517411,0.25,0.7268,Critical exposure,9906.4418,0.3,1830.4,772,35296.3,8145.0,P1 - Immediate,Hidden scenario vulnerability,"Combined Stress creates critical exposure for this product. lost sales increase by 1,382 units, while modeled cost increases by ₹9,906. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Immediate supplier contingency planning. Stress-adjusted safety stock requires approximately 422 additional units.",High,0.6932060390763766,0.6547,4,Office Supplies,Trending,0.9,1408.0,6537.0,27151.0,45.0,0.9919,0.011,3581.0,24.91,66273.06,0.125,0.31,Critical,Combined stress,0.45000000000000007,1382.0,772,7309,39369,65.25,20.25,Activate supplier contingency and increase inventory buffer,IMMEDIATE: Activate supplier contingency and increase inventory buffer. Prepare approximately 772 additional units of safety stock for Combined Stress.,Immediate,High,"URGENT CONTINGENCY DECISION: Activate supplier contingency and increase inventory buffer. Under Combined Stress, the product is exposed to approximately 1,382 additional lost-sales units and a -3.10% fill-rate change.",1884.3800346211924,0.8837,1,1
P01255,Low,Demand Volatility,1.2,0.078,0.0812,1766.25,10233.6,32695.2,523123.2,20.0,29.5526,0.9621,0.0392,4255.0,70094.1476,9115.1,-9115.0976,1185.0,1185.0,-0.031,4.8826,Severe,Increase safety stock for demand stress,Combined Stress,0.0394,0.1107,Medium,Increase order quantity,70094.15,60979.05,3070.0,0.9931,1413.0,27246.0,24.67,0.386,0.1495,0.00375,0.002867810017910429,0.25,0.6714,High exposure,9115.097599999994,0.2,1695.6,684,32695.2,5449.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,185 units, while modeled cost increases by ₹9,115. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 283 additional units.",High,0.6207489156806945,0.5988,4,Office Supplies,Trending,0.9,1413.0,6560.0,27246.0,45.0,0.9931,0.0082,3070.0,24.67,60979.05,0.0625,0.06,High,Combined stress,0.4,1185.0,684,7244,38145,63.0,18.0,Increase safety stock for demand stress,HIGH PRIORITY: Increase safety stock for demand stress. Prepare approximately 684 additional units of contingency safety stock.,High,High,HIGH PRIORITY CONTINGENCY DECISION: Increase safety stock for demand stress. Prepare the recommended buffer before Combined Stress conditions materialize.,1530.8548117154814,0.8056,1,2
P00070,Low,Supplier,1.2,0.169,0.0829,1141.25,7709.52,4834.8,227235.6,57.0,14.0156,0.9506,0.0543,5003.0,50071.232,6511.3,-6511.302,1393.0,1393.0,-0.031,2.3156,Severe,Increase inventory buffer and monitor service,Combined Stress,0.2105,0.1675,Medium,Immediate intervention,50071.23,43559.93,3610.0,0.9816,913.0,4029.0,11.7,0.3859,0.1495,0.008294,0.006342831010279759,0.25,0.6754,High exposure,6511.302000000003,0.2,1095.6,505,4834.8,806.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,393 units, while modeled cost increases by ₹6,511. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase inventory buffer and monitor service. Stress-adjusted safety stock requires approximately 183 additional units.",High,0.6104566647002672,0.5988,4,Accessories,Volatile,0.9,913.0,4942.0,4029.0,15.0,0.9816,0.0233,3610.0,11.7,43559.93,0.0638,0.13,High,Combined stress,0.4,1393.0,505,5447,5641,21.0,6.0,Prepare alternate supplier and increase inventory buffer,HIGH PRIORITY: Prepare alternate supplier and increase inventory buffer. Prepare approximately 505 additional units of contingency safety stock.,High,High,HIGH PRIORITY CONTINGENCY DECISION: Prepare alternate supplier and increase inventory buffer. Prepare the recommended buffer before Combined Stress conditions materialize.,5459.857197815835,0.7953,1,2
P00649,Low,Demand Volatility,1.2,0.156,0.1083,1503.75,8689.2,18495.6,443894.4,29.0,20.2089,0.9604,0.042,4486.0,57829.1244,7520.14,-7520.1444,1249.0,1249.0,-0.031,3.3389,Severe,Increase safety stock for demand stress,Combined Stress,0.0258,0.1292,Low,Maintain policy,57829.12,50308.98,3237.0,0.9914,1203.0,15413.0,16.87,0.3859,0.1495,0.009996,0.007644434383742039,0.25,0.661,High exposure,7520.144399999997,0.2,1443.6,607,18495.6,3083.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,249 units, while modeled cost increases by ₹7,520. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 241 additional units.",High,0.5975500199005428,0.5867,4,Office Supplies,Trending,0.9,1203.0,5570.0,15413.0,30.0,0.9914,0.011,3237.0,16.87,50308.98,0.0833,0.12,High,Combined stress,0.4,1249.0,607,6177,21579,42.0,12.0,Increase safety stock for demand stress,HIGH PRIORITY: Increase safety stock for demand stress. Prepare approximately 607 additional units of contingency safety stock.,High,High,HIGH PRIORITY CONTINGENCY DECISION: Increase safety stock for demand stress. Prepare the recommended buffer before Combined Stress conditions materialize.,1981.2853344579253,0.7812,1,2
P00470,Low,Demand Volatility,1.2,0.65,0.1625,1141.25,7717.32,9681.6,232358.4,29.0,22.6646,0.9519,0.0515,4643.0,50897.2937,6618.72,-6618.7237,1293.0,1293.0,-0.031,3.7446,Severe,Increase safety stock for demand stress,Combined Stress,0.0298,0.1688,Low,Maintain policy,50897.29,44278.57,3350.0,0.9829,913.0,8068.0,18.92,0.386,0.1495,0.0625,0.04779683363184049,0.25,0.6604,High exposure,6618.723700000002,0.2,1095.6,495,9681.6,1614.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,293 units, while modeled cost increases by ₹6,619. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 183 additional units.",High,0.5865245859275339,0.5874,4,Accessories,Volatile,0.9,913.0,4947.0,8068.0,30.0,0.9829,0.0205,3350.0,18.92,44278.57,0.125,0.5,High,Combined stress,0.4,1293.0,495,5442,11296,42.0,12.0,Increase safety stock for demand stress,HIGH PRIORITY: Increase safety stock for demand stress. Prepare approximately 495 additional units of contingency safety stock.,High,High,HIGH PRIORITY CONTINGENCY DECISION: Increase safety stock for demand stress. Prepare the recommended buffer before Combined Stress conditions materialize.,2716.645035944472,0.7703,1,2
P01612,Low,Demand Volatility,1.2,0.0,0.0,1683.75,9776.52,31260.0,500160.0,20.0,29.6724,0.9622,0.0392,3975.0,66387.6405,8633.1,-8633.1005,1107.0,1107.0,-0.031,4.9024,Severe,Increase safety stock for demand stress,Combined Stress,0.025,0.1267,Low,Increase order quantity,66387.64,57754.54,2868.0,0.9932,1347.0,26050.0,24.77,0.386,0.1495,0.0,0.0,0.25,0.6476,High exposure,8633.100499999993,0.2,1616.4,650,31260.0,5210.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,107 units, while modeled cost increases by ₹8,633. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 269 additional units.",High,0.5878036589890561,0.5752,4,Office Supplies,Trending,0.9,1347.0,6267.0,26050.0,45.0,0.9932,0.0082,2868.0,24.77,57754.54,0.0,0.0,High,Combined stress,0.4,1107.0,650,6917,36470,63.0,18.0,Increase safety stock for demand stress,HIGH PRIORITY: Increase safety stock for demand stress. Prepare approximately 650 additional units of contingency safety stock.,High,High,HIGH PRIORITY CONTINGENCY DECISION: Increase safety stock for demand stress. Prepare the recommended buffer before Combined Stress conditions materialize.,1441.09216890595,0.7703,1,2
P00852,Low,Demand Volatility,1.2,0.104,0.0542,1455.0,8419.32,17929.2,430300.8,29.0,21.9818,0.9606,0.0406,4249.0,56947.175,7405.46,-7405.455,1183.0,1183.0,-0.031,3.6318,Severe,Increase safety stock for demand stress,Combined Stress,0.0253,0.134,Low,Maintain policy,56947.18,49541.72,3066.0,0.9916,1164.0,14941.0,18.35,0.3858,0.1495,0.003336,0.0025512037919331178,0.25,0.645,High exposure,7405.455000000002,0.2,1396.8,584,17929.2,2988.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,183 units, while modeled cost increases by ₹7,405. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 233 additional units.",High,0.5770713367733715,0.571,4,Office Supplies,Trending,0.9,1164.0,5397.0,14941.0,30.0,0.9916,0.0096,3066.0,18.35,49541.72,0.0417,0.08,High,Combined stress,0.4,1183.0,584,5981,20918,42.0,12.0,Increase safety stock for demand stress,HIGH PRIORITY: Increase safety stock for demand stress. Prepare approximately 584 additional units of contingency safety stock.,High,High,HIGH PRIORITY CONTINGENCY DECISION: Increase safety stock for demand stress. Prepare the recommended buffer before Combined Stress conditions materialize.,1936.440966468108,0.7592,1,2
P00572,Low,Supplier,1.2,0.247,0.0812,1835.0,10612.68,33891.6,542265.6,20.0,29.6604,0.9633,0.0378,3651.0,66456.6437,8642.07,-8642.0737,1017.0,1017.0,-0.031,4.9004,Severe,Increase inventory buffer and monitor service,Combined Stress,0.4925,0.3289,Medium,Immediate intervention,66456.64,57814.57,2634.0,0.9943,1468.0,28243.0,24.76,0.3861,0.1495,0.011875,0.009081398390049693,0.25,0.63,High exposure,8642.0737,0.2,1761.6,689,33891.6,5649.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,017 units, while modeled cost increases by ₹8,642. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase inventory buffer and monitor service. Stress-adjusted safety stock requires approximately 294 additional units.",High,0.5640514219887249,0.559,4,Office Supplies,Trending,0.9,1468.0,6803.0,28243.0,45.0,0.9943,0.0068,2634.0,24.76,57814.57,0.0625,0.19,High,Combined stress,0.4,1017.0,689,7492,39541,63.0,18.0,Prepare alternate supplier and increase inventory buffer,HIGH PRIORITY: Prepare alternate supplier and increase inventory buffer. Prepare approximately 689 additional units of contingency safety stock.,High,High,HIGH PRIORITY CONTINGENCY DECISION: Prepare alternate supplier and increase inventory buffer. Prepare the recommended buffer before Combined Stress conditions materialize.,1410.4110303438022,0.745,1,2
