product_id,category,demand_class,risk_class,primary_risk_driver,baseline_service_level,baseline_order_coverage_days,baseline_safety_stock,baseline_reorder_point,baseline_order_quantity,baseline_fill_rate,baseline_stockout_rate,baseline_lost_sales,baseline_inventory_days,baseline_total_cost,optimized_service_level,optimized_safety_stock,optimized_reorder_point,optimized_order_quantity,optimized_order_coverage_days,optimized_fill_rate,optimized_stockout_rate,optimized_lost_sales,optimized_inventory_days,optimized_total_cost,optimized_purchase_orders,optimized_purchase_quantity,optimized_supplier_delay_rate,optimized_average_supplier_delay,lost_sales_reduction,cost_change,cost_savings,inventory_days_change,fill_rate_change,safety_stock_change,recommended_action,service_level_improvement,lost_sales_reduction_pct,inventory_days_change_pct,order_quantity_change,order_quantity_change_pct,safety_stock_change_pct,inventory_efficiency,service_risk,financial_exposure,supplier_risk_score,risk_explanation,decision_impact_score,priority,management_decision,business_impact,policy_change_flag,urgency_score,recommendation_confidence,decision_rationale,expected_outcome,executive_recommendation,priority_rank,scenario,contingency_severity,contingency_impact_score,lost_sales_exposure,cost_change_vs_optimized,fill_rate_change_vs_optimized,additional_safety_stock_required,contingency_reorder_point,contingency_order_quantity,contingency_order_coverage_days,contingency_action,contingency_confidence,primary_risk_driver_contingency,action_type,action_priority,action_owner,action_horizon,executive_action_score,executive_action,expected_business_outcome,executive_rationale,executive_confidence,scenario_response,policy_change_required
P01600,Accessories,Volatile,Low,Demand Volatility,0.95,30,1251,5539,8575,0.9878,0.0137,2550,19.21,37084.72,0.9,975.0,5263.0,8575.0,30.0,0.9795,0.0192,4272.0,18.71,54016.9,24.0,205800.0,0.125,0.58,-1722.0,16932.18,-16932.18,-0.5,-0.0083,-276.0,Maintain current inventory policy,-0.0083,-0.6753,-0.026,0.0,0.0,-0.2206,Inventory reduction,Service deterioration,Limited financial benefit,0.0554,Low risk driven primarily by demand variability and forecast uncertainty.,0.0305,P4 - Monitor,Maintain policy,Limited benefit,0,0.1793,Low,Maintain current inventory policy. The policy reduces inventory exposure by 0.50 inventory days while maintaining the modeled service outcome.,Limited modeled improvement,MONITOR: Maintain current policy unless operating conditions materially change.,1,Combined Stress,Critical,0.9113,1649.0,8074.4,-0.031,604,5867,12434,43.5,Activate demand contingency and increase safety stock,High,Demand Volatility,Demand contingency,P1 - Immediate,Demand Planning,0-7 days,0.6115,Activate demand contingency and increase safety stock by approximately 604 units.,Protect service under adverse scenario,"P1 - Immediate exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 1,649 units with modeled fill-rate deterioration of 3.10%. Approximately 604 additional units of safety stock are indicated.",Medium,Activate demand contingency,1
P00420,Office Supplies,Trending,Low,Supplier,0.95,30,1233,4732,12349,0.9921,0.0096,2385,17.37,38750.73,0.9,961.0,4460.0,6174.0,15.0,0.9854,0.0178,4375.0,10.53,53594.04,47.0,290178.0,0.1064,0.23,-1990.0,14843.32,-14843.32,-6.84,-0.0066,-272.0,Reduce order quantity and increase ordering frequency,-0.0066,-0.8344,-0.3938,-6175.0,-0.5,-0.2206,Inventory reduction,Service deterioration,Limited financial benefit,0.0187,Low risk driven primarily by supplier reliability and lead-time uncertainty.,0.0269,P4 - Monitor,Reduce order quantity,Limited benefit,1,0.1605,Low,Reduce order quantity and increase ordering frequency. The policy reduces inventory exposure by 6.84 inventory days while maintaining the modeled service outcome.,Limited modeled improvement,MONITOR: Maintain current policy unless operating conditions materially change.,1,Combined Stress,Critical,0.9205,1689.0,8011.19,-0.031,602,5062,8953,21.75,Activate supplier contingency and increase inventory buffer,High,Supplier,Supplier contingency,P1 - Immediate,Procurement,0-7 days,0.6084,"Activate supplier contingency, secure alternate supply, and increase inventory buffer by approximately 602 units.",Protect service under adverse scenario,"P1 - Immediate exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 1,689 units with modeled fill-rate deterioration of 3.10%. Approximately 602 additional units of safety stock are indicated.",Medium,Activate supplier contingency,1
P00842,Office Supplies,Trending,Low,Supplier,0.95,30,1807,6936,18101,0.9987,0.0014,570,18.39,28486.49,0.9,1408.0,6537.0,27151.0,45.0,0.9919,0.011,3581.0,24.91,66273.06,16.0,434416.0,0.125,0.31,-3011.0,37786.57,-37786.57,6.53,-0.0068,-399.0,Increase order quantity to reduce ordering frequency,-0.0068,-5.2825,0.3551,9050.0,0.5,-0.2208,Inventory increase,Service deterioration,Limited financial benefit,0.0296,Low risk driven primarily by supplier reliability and lead-time uncertainty.,0.028,P4 - Monitor,Increase order quantity,Limited benefit,1,0.1634,Low,Increase order quantity to reduce ordering frequency. The modeled economics do not indicate a strong requirement for immediate intervention.,Limited modeled improvement,MONITOR: Maintain current policy unless operating conditions materially change.,1,Combined Stress,Critical,0.8837,1382.0,9906.44,-0.031,772,7309,39369,65.25,Activate supplier contingency and increase inventory buffer,High,Supplier,Supplier contingency,P1 - Immediate,Procurement,0-7 days,0.5855,"Activate supplier contingency, secure alternate supply, and increase inventory buffer by approximately 772 units.",Protect service under adverse scenario,"P1 - Immediate exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 1,382 units with modeled fill-rate deterioration of 3.10%. Approximately 772 additional units of safety stock are indicated.",Medium,Activate supplier contingency,1
P00992,Office Supplies,Intermittent,High,Demand Volatility,0.95,30,1815,4769,4791,0.9572,0.0192,4986,25.01,58447.45,0.975,2162.0,5116.0,2395.0,15.0,0.9909,0.0041,1061.0,20.79,18475.6,49.0,117355.0,0.2449,1.14,3925.0,-39971.85,39971.85,-4.22,0.0337,347.0,Increase service level and adjust safety stock,0.0337,0.7872,-0.1687,-2396.0,-0.5001,0.1912,Inventory reduction,Strong service improvement,Positive economic + service impact,0.2135,High risk driven primarily by demand variability and forecast uncertainty.,0.7821,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.5672,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 3,925 units while reducing modeled cost by ₹39,972. Fill rate changes by +3.37%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,2,Combined Stress,High,0.4303,410.0,2761.72,-0.031,1123,6239,3593,22.5,Increase safety stock for demand stress,High,Demand Volatility,Demand risk mitigation,P2 - High,Demand Planning,7-30 days,0.7454,"Prepare demand contingency and increase safety stock by approximately 1,123 units.",Protect service under adverse scenario,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 410 units. Recommended contingency buffer is 1,123 units.",High,Prepare demand response,1
P01273,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1722,4571,4621,0.9683,0.0123,3567,23.73,43579.23,0.99,2436.0,5285.0,6931.0,45.0,1.0,0.0,0.0,37.62,12012.68,17.0,117827.0,0.2353,1.18,3567.0,-31566.55,31566.55,13.89,0.0317,714.0,Increase service level and adjust safety stock,0.0317,1.0,0.5853,2310.0,0.4999,0.4146,Inventory increase,Strong service improvement,Positive economic + service impact,0.2123,Critical risk driven primarily by demand variability and forecast uncertainty.,0.7212,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.6447,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 3,567 units while reducing modeled cost by ₹31,567. Fill rate changes by +3.17%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,2,Combined Stress,High,0.2938,0.0,1795.65,-0.031,1340,6625,10744,69.75,Increase safety stock for demand stress,Low,Demand Volatility,Demand risk mitigation,P2 - High,Demand Planning,7-30 days,0.7034,"Prepare demand contingency and increase safety stock by approximately 1,340 units.",Lower cost and improved service,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 0 units. Recommended contingency buffer is 1,340 units.",Medium,Prepare demand response,1
P01633,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1299,3453,3493,0.9612,0.0151,3297,25.37,39477.99,0.99,1837.0,3991.0,5240.0,45.0,1.0,0.0,0.0,38.86,9474.93,17.0,89080.0,0.1765,0.88,3297.0,-30003.06,30003.06,13.49,0.0388,538.0,Increase service level and adjust safety stock,0.0388,1.0,0.5317,1747.0,0.5001,0.4142,Inventory increase,Strong service improvement,Positive economic + service impact,0.1188,Critical risk driven primarily by demand variability and forecast uncertainty.,0.7168,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.6184,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 3,297 units while reducing modeled cost by ₹30,003. Fill rate changes by +3.88%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,2,Combined Stress,High,0.2822,0.0,1416.3,-0.031,1011,5002,8122,69.75,Increase safety stock for demand stress,Low,Demand Volatility,Demand risk mitigation,P2 - High,Demand Planning,7-30 days,0.692,"Prepare demand contingency and increase safety stock by approximately 1,011 units.",Lower cost and improved service,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 0 units. Recommended contingency buffer is 1,011 units.",Medium,Prepare demand response,1
P01903,Office Supplies,Trending,Low,Demand Volatility,0.95,30,1501,5753,15005,0.9839,0.0192,5894,16.95,76499.79,0.9,1169.0,5421.0,22508.0,45.0,0.997,0.0041,1105.0,25.2,36657.91,16.0,360128.0,0.0625,0.12,4789.0,-39841.88,39841.88,8.25,0.0131,-332.0,Increase order quantity to reduce ordering frequency,0.0131,0.8125,0.4867,7503.0,0.5,-0.2212,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0057,Low risk driven primarily by demand variability and forecast uncertainty.,0.6751,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.4006,Medium,"Increase order quantity to reduce ordering frequency. The optimization is expected to reduce lost sales by 4,789 units while reducing modeled cost by ₹39,842. Fill rate changes by +1.31%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,2,Combined Stress,High,0.4912,427.0,5479.59,-0.031,511,5932,31512,63.0,Increase safety stock for demand stress,High,Demand Volatility,Demand risk mitigation,P2 - High,Demand Planning,7-30 days,0.6704,Prepare demand contingency and increase safety stock by approximately 511 units.,Protect service under adverse scenario,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 427 units. Recommended contingency buffer is 511 units.,High,Prepare demand response,1
P00572,Office Supplies,Trending,Low,Supplier,0.95,30,1884,7219,18829,0.9863,0.0137,6273,17.44,85217.6,0.9,1468.0,6803.0,28243.0,45.0,0.9943,0.0068,2634.0,24.76,57814.57,16.0,451888.0,0.0625,0.19,3639.0,-27403.03,27403.03,7.32,0.0079,-416.0,Increase order quantity to reduce ordering frequency,0.0079,0.5801,0.4197,9414.0,0.5,-0.2208,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0091,Low risk driven primarily by supplier reliability and lead-time uncertainty.,0.4925,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.3289,Medium,"Increase order quantity to reduce ordering frequency. The optimization is expected to reduce lost sales by 3,639 units while reducing modeled cost by ₹27,403. Fill rate changes by +0.79%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,2,Combined Stress,High,0.745,1017.0,8642.07,-0.031,689,7492,39541,63.0,Prepare alternate supplier and increase inventory buffer,High,Supplier,Supplier risk mitigation,P2 - High,Procurement,7-30 days,0.6661,Prepare alternate supplier coverage and increase inventory buffer by approximately 689 units.,Protect service under adverse scenario,"P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 1,017 units. Recommended contingency buffer is 689 units.",High,Prepare alternate supplier,1
P00338,Office Supplies,Trending,Low,Supplier,0.95,30,1834,7039,18371,0.9871,0.0151,5779,17.78,80170.59,0.9,1429.0,6634.0,18371.0,30.0,0.9963,0.0055,1647.0,17.18,38112.9,24.0,440904.0,0.0417,0.04,4132.0,-42057.69,42057.69,-0.6,0.0092,-405.0,Maintain current inventory policy,0.0092,0.715,-0.0337,0.0,0.0,-0.2208,Inventory reduction,Moderate service improvement,Positive economic + service impact,0.0013,Low risk driven primarily by supplier reliability and lead-time uncertainty.,0.6211,P1 - High Impact,Immediate intervention,Cost saving + service improvement,0,0.359,Medium,"Maintain current inventory policy. The optimization is expected to reduce lost sales by 4,132 units while reducing modeled cost by ₹42,058. Fill rate changes by +0.92%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,2,Combined Stress,High,0.5568,636.0,5697.08,-0.031,636,7270,25720,42.0,Prepare alternate supplier and increase inventory buffer,High,Supplier,Supplier risk mitigation,P2 - High,Procurement,7-30 days,0.6633,Prepare alternate supplier coverage and increase inventory buffer by approximately 636 units.,Protect service under adverse scenario,P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 636 units. Recommended contingency buffer is 636 units.,High,Prepare alternate supplier,1
P01591,Office Supplies,Intermittent,High,Demand Volatility,0.95,30,1826,4742,4729,0.9696,0.0137,3503,26.18,43883.4,0.975,2175.0,5091.0,2365.0,15.0,0.9992,0.0027,94.0,21.8,9036.97,49.0,115885.0,0.1224,0.47,3409.0,-34846.43,34846.43,-4.38,0.0296,349.0,Increase service level and adjust safety stock,0.0296,0.9732,-0.1673,-2364.0,-0.4999,0.1911,Inventory reduction,Strong service improvement,Positive economic + service impact,0.044,High risk driven primarily by demand variability and forecast uncertainty.,0.6773,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.518,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 3,409 units while reducing modeled cost by ₹34,846. Fill rate changes by +2.96%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,2,Combined Stress,Moderate,0.2827,36.0,1350.84,-0.031,983,6074,3430,21.75,Monitor demand volatility and maintain inventory buffer,Low,Demand Volatility,Inventory buffer planning,P2 - High,Inventory Planning,7-30 days,0.6504,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹34,846.43, with lost-sales change of 3,409 units.",Medium,Monitor scenario exposure,1
