product_id,forecast_30d,average_forecast_daily,forecast_min,forecast_max,uncertainty_lower_30d,uncertainty_upper_30d,demand_class,behavioral_class,selected_model,validation_wape,validation_mae,validation_rmse,validation_bias,average_daily_demand,demand_std,zero_demand_rate,forecast_growth_vs_history,forecast_uncertainty,forecast_confidence
P00001,849.17788703769,28.305929567923,20.72044274554572,32.83654308179217,537.775587955934,1160.580186119446,Seasonal,Continuous,HoltWinters7,0.07458440298534552,1.9948573400759901,2.501408840195921,-0.028734661310373905,30.26986301369863,6.74113114318188,0.0,-0.06488081709807714,622.8045981635119,High
P00002,3544.7489681139173,118.15829893713058,104.20267554130373,126.49913243524016,2772.507867184739,4316.990069043096,Stable,Continuous,HoltWinters7,0.07893244632835607,9.319482264648352,11.482766048501276,-0.0010669509696360224,115.53561643835616,14.645775149483276,0.0,0.022700207776826575,1544.4822018583568,High
P00003,7937.48856571862,264.58295219062063,231.35569358649977,286.4812330930301,6567.676816190612,9307.300315246628,Stable,Continuous,HoltWinters7,0.04837232597385057,12.402767524743547,15.367540636407917,-0.03039439950612674,269.7246575342466,28.876294884578893,0.0,-0.019062793111427445,2739.623499056016,High
P00004,9125.793251403933,304.1931083801311,230.67026673423115,348.52361855174945,6602.003796022675,11649.582706785191,Seasonal,Continuous,HoltWinters7,0.06979418351093007,18.332118029801613,22.049539275874896,-0.04001211624095334,286.7054794520548,56.08593345506197,0.0,0.060995098389811986,5047.578910762517,High
P00005,620.4168257367518,20.680560857891727,15.015227476102474,24.1329517625968,364.6683377217104,876.1653137517932,Seasonal,Continuous,HoltWinters7,0.15518406554258793,3.468285382090474,4.068952166817812,-0.03853374398972458,22.297260273972604,5.226619441153588,0.0,-0.07250663965958348,511.4969760300828,Medium
P00006,475.77711596378043,15.85923719879268,15.85923719879268,15.85923719879268,212.05304594533794,739.5011859822229,Volatile,Continuous,SES,0.23351354122707924,4.037880370233199,5.4534701389932065,-0.09446429739983413,17.883561643835616,4.815256780246147,0.0,-0.11319470278677468,527.448140036885,Medium
P00007,703.267573435962,23.442252447865403,20.386089237746926,25.51908969177672,464.64828537814634,941.8868614937777,Stable,Continuous,HoltWinters7,0.13971535682819322,3.8601780904952014,4.582627084552175,-0.0368201924720766,24.80821917808219,4.3501021990945485,0.0,-0.05506105538698258,477.23857611563136,High
P00008,6867.942834370844,228.93142781236148,202.1030342798582,245.5808806009491,5375.205835894441,8360.679832847247,Stable,Continuous,HoltWinters7,0.08454919392054372,19.344425020370803,23.195526774545318,-0.025410311719607198,225.20958904109588,28.382574806436295,0.0,0.016526111464048032,2985.4739969528055,High
P00009,6363.171491696216,212.1057163898739,178.86222901690792,230.09183352438606,5003.343428351111,7722.999555041323,Trending,Continuous,HoltWinters7,0.07462283996077633,14.557295347386338,18.05700991916188,-0.046565475069935906,182.7219178082192,30.718210157404066,0.0,0.16081157057740203,2719.6561266902127,High
P00010,2755.9178108031206,91.86392702677068,91.86392702677068,91.86392702677068,0.0,9871.72266210274,Intermittent,Intermittent,Croston,1.2534958072011169,119.2605659136655,125.61742882056315,-0.04381199961107172,83.01780821917808,122.99932956475337,0.6821917808219178,0.10655688216000203,9871.72266210274,Very Low
P00011,297.5446178459641,9.918153928198803,9.918153928198805,9.918153928198805,127.15377410953776,467.9354615823906,Volatile,Continuous,SES,0.22620355246047122,2.7124808270875067,3.656955280205691,-0.06339309641756419,12.227397260273973,3.1671002637508843,0.0,-0.18885812597074547,340.7816874728528,Medium
P00012,12093.337200318829,403.1112400106276,348.83655305415925,438.02051847976054,9478.262078302861,14708.412322334794,Trending,Continuous,HoltWinters7,0.09439658866285379,36.4363110135504,48.39336162390949,-0.051508500243293,321.18630136986303,62.078766098345895,0.0,0.25506984043638803,5230.150244031933,High
P00013,8081.1760602430595,269.3725353414353,230.6091094149897,292.2745825264966,6188.905037358341,9973.447083127778,Trending,Continuous,HoltWinters7,0.09522922655785498,26.068386291252978,34.56412974906677,-0.051134931036515674,229.56438356164384,42.94037519207236,0.0,0.17340735162038756,3784.5420457694363,High
P00014,150.0,5.0,5.0,5.0,78.71384227624787,221.2861577237521,Volatile,Continuous,Naive,0.22553145823517007,1.0222222222222221,1.258176808997017,0.06887353318277983,4.3712328767123285,1.2540173525330462,0.0,0.1438420557818867,142.57231544750422,Medium
P00015,676.5910087093546,22.553033623645153,22.553033623645153,22.553033623645153,303.8103078353638,1049.3717095833454,Volatile,Continuous,SES,0.1916455640007805,5.098123723226549,6.751887742061325,-0.06895863687608807,26.117808219178084,6.7287101119847454,0.0,-0.1364882751882429,745.5614017479816,Medium
P00016,595.4005345345337,19.846684484484456,16.88230008908373,21.86697193020678,397.57139568091617,793.2296733881514,Trending,Continuous,HoltWinters7,0.14993069028598535,3.342306960863338,4.23756420493843,-0.036363406013585294,18.317808219178083,3.7222256298400995,0.0,0.08346393012815234,395.6582777072352,High
P00017,118.16648893826004,3.938882964608668,3.4291149816776647,4.265246361717368,83.23755281309974,153.09542506342035,Stable,Continuous,HoltWinters7,0.11481081118171184,0.4357823715129514,0.5384412493083642,-0.045637890593484214,4.004109589041096,0.6446867054571906,0.0,-0.016289919889042825,69.85787225032061,High
P00018,7564.268329787299,252.14227765957665,216.07706727813718,273.29569830414067,5990.17298280442,9138.36367677018,Trending,Continuous,HoltWinters7,0.08123257913048675,18.52191235940122,23.33223795557592,-0.03427196298326816,212.43835616438355,34.6946255968424,0.0,0.18689619997092444,3148.1906939657592,High
