product_id,category,demand_class,total_demand,total_demand_fulfilled,total_lost_sales,stockout_days,average_inventory,minimum_inventory,maximum_inventory,average_inventory_position,purchase_quantity,purchase_orders,purchase_order_arrivals,delayed_orders,average_lead_time,maximum_lead_time,average_supplier_delay,maximum_supplier_delay,average_daily_demand,demand_std,base_daily_demand,reorder_point,safety_stock,order_quantity,min_lead_time_days,max_lead_time_days,average_lead_time_days,lead_time_std,fill_rate,stockout_rate,lost_sales_rate,coefficient_of_variation,inventory_days,target_inventory,excess_inventory,excess_inventory_rate,inventory_turnover,supplier_delay_rate,lead_time_variability,service_level_gap,stockout_risk,service_risk,volatility_risk,supplier_risk,excess_inventory_risk,inventory_risk_score,risk_class,primary_risk_driver,recommended_action,inventory_health
P01620,Office Supplies,Intermittent,82542,79332,3210,12,2772.3712328767124,0,6048,5002.727397260274,81408,24,23,12,20.208333333333332,29,3.5833333333333335,7,113.07123287671233,162.2597973390117,327.93,3389,1297,3392,12,25,18.5,3.25,0.9611107072762957,0.01643835616438356,0.0388892927237043,1.435022801210033,24.518802549005354,6780.954794520548,0.0,0.0,29.77306899637371,0.5,1.7083333333333321,0.0,5.532764888808786,0.0,71.75114006050165,58.54166666666666,0.0,21.2,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01943,Office Supplies,Intermittent,110295,105824,4471,13,3521.113698630137,0,7940,6656.956164383561,108792,24,23,8,21.375,31,5.25,7,151.08904109589042,201.00000072452823,396.64,4430,1635,4533,12,25,18.5,3.25,0.9594632576272724,0.01780821917808219,0.04053674237272768,1.3303413620645144,23.304891427535246,8962.818493150684,0.0,0.0,31.323896198782062,0.3333333333333333,2.875,0.0,5.834496155080988,0.0,66.51706810322572,47.70833333333333,0.0,18.88,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P00266,Office Supplies,Intermittent,29791,28567,1224,11,983.0246575342466,0,2236,1818.027397260274,29376,24,23,7,21.25,31,4.571428571428571,7,40.80958904109589,57.70794132774363,115.43,1218,463,1224,12,25,18.5,3.25,0.9589137659024538,0.015068493150684932,0.04108623409754624,1.4140779822514469,24.08808029270585,2442.2650684931505,0.0,0.0,30.305445312761286,0.2916666666666667,2.75,0.0,5.615472724823117,0.0,70.70389911257234,42.91666666666667,0.0,18.73,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01273,Office Supplies,Intermittent,112436,109858,2578,7,3638.1205479452055,0,8619,6904.471232876713,110904,24,24,8,21.5,28,4.625,7,154.02191780821917,213.81425874309406,427.39,4571,1722,4621,12,25,18.5,3.25,0.9770714006190189,0.009589041095890411,0.02292859938098118,1.388206703213016,23.620797609306628,9192.06301369863,0.0,0.0,30.9049682434254,0.3333333333333333,3.0,0.0,3.2517640476871597,0.0,69.4103351606508,48.33333333333333,0.0,18.64,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01038,Office Supplies,Intermittent,52348,50946,1402,8,1803.7438356164384,0,3824,3182.741095890411,51624,24,24,9,19.5,28,5.222222222222222,7,71.7095890410959,99.65232037406419,201.35,2129,802,2151,12,25,18.5,3.25,0.9732176969511729,0.010958904109589041,0.02678230304882708,1.3896651996841685,25.153453809123558,4279.915068493151,0.0,0.0,29.02185940505782,0.375,1.0,0.0,3.774120715841612,0.0,69.48325998420842,42.5,0.0,17.93,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01905,Office Supplies,Intermittent,129578,126787,2791,8,4173.115068493151,0,8465,7878.731506849315,127800,24,24,8,21.166666666666668,28,4.75,7,177.5041095890411,235.16838810729024,468.79,5199,1915,5325,12,25,18.5,3.25,0.9784608498356202,0.010958904109589041,0.021539150164379756,1.3248616533541333,23.509963111021936,10523.949315068494,0.0,0.0,31.050665479681744,0.3333333333333333,2.666666666666668,0.0,3.2498054273968795,0.0,66.24308266770666,46.66666666666667,0.0,17.91,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01633,Office Supplies,Intermittent,85004,83041,1963,8,2855.9739726027397,0,6479,5162.31095890411,83832,24,23,8,20.291666666666668,28,3.875,7,116.44383561643835,161.13375829442273,321.4,3453,1299,3493,12,25,18.5,3.25,0.9769069690838078,0.010958904109589041,0.023093030916192178,1.3837895105516047,24.52662227659875,6946.52602739726,0.0,0.0,29.763576564576727,0.3333333333333333,1.7916666666666679,0.0,3.405193502578122,0.0,69.18947552758024,42.29166666666667,0.0,17.74,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01954,Office Supplies,Intermittent,27523,27004,519,7,977.4561643835616,0,2111,1736.6205479452055,27144,24,24,7,20.416666666666668,32,4.571428571428571,7,37.702739726027396,55.47142388342912,112.91,1139,441,1131,12,25,18.5,3.25,0.981143043999564,0.009589041095890411,0.018856956000436,1.4712836331396744,25.925335174217928,2269.5828767123285,0.0,0.0,28.157784464285967,0.2916666666666667,1.9166666666666679,0.0,2.844599709632641,0.0,73.56418165698372,38.75000000000001,0.0,17.7,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P00973,Office Supplies,Intermittent,59606,58564,1042,6,1867.0424657534247,0,4104,3545.1246575342466,58800,24,23,8,20.833333333333332,29,4.625,6,81.65205479452055,110.78637497700558,218.46,2408,897,2450,12,25,18.5,3.25,0.9825185384021743,0.00821917808219178,0.017481461597825723,1.3568106186158115,22.86583565412878,4857.124657534247,0.0,0.0,31.92535847112971,0.3333333333333333,2.333333333333332,0.0,2.57006396800175,0.0,67.84053093079058,44.999999999999986,0.0,17.7,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01344,Office Supplies,Intermittent,18892,18380,512,8,624.9643835616438,0,1318,1170.2904109589042,18624,24,23,6,21.5,28,5.0,7,25.87945205479452,35.495694048653846,70.71,766,287,776,12,25,18.5,3.25,0.9728985814101206,0.010958904109589041,0.027101418589879314,1.3715782688713376,24.149057802244336,1542.1534246575343,0.0,0.0,30.228922634495337,0.25,3.0,0.0,3.8060322699468356,0.0,68.57891344356688,40.0,0.0,17.43,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
