product_id,model_version,demand_class,selected_model,simulations,optimized_reorder_point,mean_simulated_lead_time,mean_lead_time_demand,p50_lead_time_demand,p90_lead_time_demand,p95_lead_time_demand,p99_lead_time_demand,stockout_probability,expected_shortage_units,shortage_units_p95,policy_robustness,simulated_at_utc
P01404,8ed197e0eeec9530,Intermittent,Naive,5000,5142.0,18.4416,10691.928684,10630.335676,14240.25941,15033.0978,16302.858746,0.9962,5551.279621,9891.0978,Fragile,2026-08-28T10:58:41.807024+00:00
P01338,1146253ae9c09d22,Intermittent,Naive,5000,1755.0,18.4508,3575.353099,3560.217718,4738.786567,4989.948727,5403.610243,0.996,1820.74531,3234.948727,Fragile,2026-08-28T10:58:41.807024+00:00
P01057,39ad7a666637bd5c,Intermittent,Naive,5000,2024.0,18.5176,4150.404901,4122.485055,5532.968461,5872.708234,6336.011195,0.9952,2127.262591,3848.708234,Fragile,2026-08-28T10:58:41.807024+00:00
P00039,6266524bd00d5054,Intermittent,Naive,5000,5199.0,18.5362,9820.709865,9762.791823,13141.834035,13948.201529,15259.47553,0.9872,4627.434913,8749.201529,Fragile,2026-08-28T10:58:41.807024+00:00
P00400,d8b993c67a4b6c56,Intermittent,Naive,5000,655.0,18.459,1219.335163,1210.655481,1630.583412,1743.654374,1903.913305,0.9828,565.420271,1088.654374,Fragile,2026-08-28T10:58:41.807024+00:00
P01007,ea23565696986a5b,Intermittent,Naive,5000,1150.0,18.4998,2139.048376,2123.379731,2864.214621,3039.812791,3319.56247,0.9816,991.265208,1889.812791,Fragile,2026-08-28T10:58:41.807024+00:00
P00087,e414c820796d5812,Intermittent,Naive,5000,787.0,18.4324,1305.6957,1291.612599,1754.140803,1856.277206,2002.463961,0.959,521.931865,1069.277206,Fragile,2026-08-28T10:58:41.807024+00:00
P00882,6791d812df24a02a,Intermittent,Naive,5000,905.0,18.518,1500.845878,1496.158756,2003.969321,2108.453475,2333.81324,0.9516,600.055251,1203.453475,Fragile,2026-08-28T10:58:41.807024+00:00
P00218,0394eb781d2dfbdf,Intermittent,Naive,5000,2479.0,18.5298,4106.270226,4080.052865,5590.149273,5939.157558,6444.572592,0.9436,1642.235711,3460.157558,Fragile,2026-08-28T10:58:41.807024+00:00
P01943,94ec1be396d45e6a,Intermittent,Naive,5000,5108.0,18.4056,8263.679246,8152.945226,11212.173844,11805.028822,12935.660515,0.941,3189.116107,6697.028822,Fragile,2026-08-28T10:58:41.807024+00:00
