product_id,category,demand_class,risk_class,primary_risk_driver,baseline_service_level,baseline_order_coverage_days,baseline_safety_stock,baseline_reorder_point,baseline_order_quantity,baseline_fill_rate,baseline_stockout_rate,baseline_lost_sales,baseline_inventory_days,baseline_total_cost,optimized_service_level,optimized_safety_stock,optimized_reorder_point,optimized_order_quantity,optimized_order_coverage_days,optimized_fill_rate,optimized_stockout_rate,optimized_lost_sales,optimized_inventory_days,optimized_total_cost,optimized_purchase_orders,optimized_purchase_quantity,optimized_supplier_delay_rate,optimized_average_supplier_delay,lost_sales_reduction,cost_change,cost_savings,inventory_days_change,fill_rate_change,safety_stock_change,recommended_action,service_level_improvement,lost_sales_reduction_pct,inventory_days_change_pct,order_quantity_change,order_quantity_change_pct,safety_stock_change_pct,inventory_efficiency,service_risk,financial_exposure,supplier_risk_score,risk_explanation,decision_impact_score,priority,management_decision,business_impact,policy_change_flag,urgency_score,recommendation_confidence,decision_rationale,expected_outcome,executive_recommendation,priority_rank
P01718,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1354,3515,3505,0.9586,0.0151,3528,26.17,41993.39,0.99,1915.0,4076.0,3505.0,30.0,0.9997,0.0014,23.0,30.37,7950.34,25.0,87625.0,0.24,1.2,3505.0,-34043.05,34043.05,4.2,0.0411,561.0,Increase service level and adjust safety stock,0.0411,0.9935,0.1605,0.0,0.0,0.4143,Inventory increase,Strong service improvement,Positive economic + service impact,0.4741,Critical risk driven primarily by demand variability and forecast uncertainty.,0.7087,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.6427,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 3,505 units while reducing modeled cost by $34,043. Fill rate changes by +4.11%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01943,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1635,4430,4533,0.9637,0.0151,4001,23.93,47842.05,0.99,2313.0,5108.0,4533.0,30.0,0.9974,0.0027,289.0,28.81,12219.95,25.0,113325.0,0.16,0.72,3712.0,-35622.1,35622.1,4.87,0.0337,678.0,Increase service level and adjust safety stock,0.0337,0.9278,0.2035,0.0,0.0,0.4147,Inventory increase,Strong service improvement,Positive economic + service impact,0.1896,Critical risk driven primarily by demand variability and forecast uncertainty.,0.6713,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.6258,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 3,712 units while reducing modeled cost by $35,622. Fill rate changes by +3.37%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P00389,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1198,3239,3310,0.9695,0.0137,2456,24.52,30570.38,0.99,1694.0,3735.0,1655.0,15.0,0.9998,0.0014,15.0,21.74,6171.92,49.0,81095.0,0.0612,0.33,2441.0,-24398.47,24398.47,-2.78,0.0303,496.0,Increase service level and adjust safety stock,0.0303,0.9939,-0.1134,-1655.0,-0.5,0.414,Inventory reduction,Strong service improvement,Positive economic + service impact,0.0332,Critical risk driven primarily by demand variability and forecast uncertainty.,0.5044,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.5394,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 2,441 units while reducing modeled cost by $24,398. Fill rate changes by +3.03%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P00463,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1195,3223,3288,0.9755,0.0123,1958,24.44,25536.09,0.99,1690.0,3718.0,3288.0,30.0,0.9983,0.0014,140.0,28.95,8370.09,25.0,82200.0,0.32,1.2,1818.0,-17165.99,17165.99,4.51,0.0227,495.0,Increase service level and adjust safety stock,0.0227,0.9285,0.1845,0.0,0.0,0.4142,Inventory increase,Strong service improvement,Positive economic + service impact,0.6321,Critical risk driven primarily by demand variability and forecast uncertainty.,0.4575,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.5645,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 1,818 units while reducing modeled cost by $17,166. Fill rate changes by +2.27%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01633,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1299,3453,3493,0.9745,0.011,2164,24.53,27952.88,0.99,1837.0,3991.0,3493.0,30.0,0.9995,0.0014,45.0,30.37,8148.61,25.0,87325.0,0.16,0.56,2119.0,-19804.27,19804.27,5.84,0.0249,538.0,Increase service level and adjust safety stock,0.0249,0.9792,0.2381,0.0,0.0,0.4142,Inventory increase,Strong service improvement,Positive economic + service impact,0.1475,Critical risk driven primarily by demand variability and forecast uncertainty.,0.4505,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.5328,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 2,119 units while reducing modeled cost by $19,804. Fill rate changes by +2.49%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01273,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1722,4571,4621,0.9853,0.0082,1658,26.06,25206.84,0.99,2436.0,5285.0,6931.0,45.0,1.0,0.0,0.0,34.6,11082.21,17.0,117827.0,0.2353,0.82,1658.0,-14124.63,14124.63,8.54,0.0147,714.0,Increase service level and adjust safety stock,0.0147,1.0,0.3277,2310.0,0.4999,0.4146,Inventory increase,Moderate service improvement,Positive economic + service impact,0.3176,Critical risk driven primarily by demand variability and forecast uncertainty.,0.3683,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.5242,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 1,658 units while reducing modeled cost by $14,125. Fill rate changes by +1.47%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01081,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1309,3506,3562,0.982,0.0082,1556,24.49,21975.77,0.99,1851.0,4048.0,1781.0,15.0,1.0,0.0,0.0,22.31,6523.96,49.0,87269.0,0.1633,0.63,1556.0,-15451.81,15451.81,-2.18,0.018,542.0,Increase service level and adjust safety stock,0.018,1.0,-0.089,-1781.0,-0.5,0.4141,Inventory reduction,Moderate service improvement,Positive economic + service impact,0.1693,Critical risk driven primarily by demand variability and forecast uncertainty.,0.3667,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.5037,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 1,556 units while reducing modeled cost by $15,452. Fill rate changes by +1.80%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P00266,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,463,1218,1224,0.9663,0.0123,1004,23.12,12526.64,0.99,655.0,1410.0,612.0,15.0,1.0,0.0,0.0,23.96,3180.5,49.0,29988.0,0.1224,0.61,1004.0,-9346.14,9346.14,0.84,0.0337,192.0,Increase service level and adjust safety stock,0.0337,1.0,0.0363,-612.0,-0.5,0.4147,Inventory increase,Strong service improvement,Positive economic + service impact,0.1229,Critical risk driven primarily by demand variability and forecast uncertainty.,0.3602,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4682,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 1,004 units while reducing modeled cost by $9,346. Fill rate changes by +3.37%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01954,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,441,1139,1131,0.9739,0.011,718,26.3,9762.88,0.99,624.0,1322.0,1697.0,45.0,0.9999,0.0014,2.0,38.24,3328.42,17.0,28849.0,0.2353,1.12,716.0,-6434.47,6434.47,11.94,0.026,183.0,Increase service level and adjust safety stock,0.026,0.9972,0.454,566.0,0.5004,0.415,Inventory increase,Strong service improvement,Positive economic + service impact,0.4338,Critical risk driven primarily by demand variability and forecast uncertainty.,0.3271,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4833,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 716 units while reducing modeled cost by $6,434. Fill rate changes by +2.60%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01916,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1750,4821,4980,0.9901,0.0068,1202,23.39,20410.94,0.99,2475.0,5546.0,4980.0,30.0,1.0,0.0,0.0,27.52,9761.11,25.0,124500.0,0.24,1.24,1202.0,-10649.83,10649.83,4.13,0.0099,725.0,Increase service level and adjust safety stock,0.0099,1.0,0.1766,0.0,0.0,0.4143,Inventory increase,Moderate service improvement,Positive economic + service impact,0.4899,Critical risk driven primarily by demand variability and forecast uncertainty.,0.3194,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.516,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 1,202 units while reducing modeled cost by $10,650. Fill rate changes by +0.99%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
