action_rank,priority_rank,management_priority,product_id,product_name,category,demand_class,risk_score,risk_class,confidence_score,confidence_class,business_impact_score,business_impact_class,primary_risk_driver,primary_risk_driver_score,anomaly_severity_score,max_anomaly_deviation,max_anomaly_z,forecast_change_pct,wape,inventory_risk_score,stockout_risk,service_risk,supplier_risk,volatility_risk,excess_inventory_risk,inventory_days,fill_rate,estimated_financial_exposure,at_risk_value,lost_sales_exposure,supplier_delay_exposure,inventory_obsolescence_exposure,optimization_opportunity,compound_risk_count,compound_risk_score,recommended_action
1,1,P1 - Immediate,P01620,OfficePro Storage 01620,Office Supplies,Intermittent,85.29,Critical,100.0,High,64.91,High,Forecast Accuracy,100.0,3,1.0,120.6786,0.0,189.5952,21.2,5.5328,0.0,58.5417,71.7511,0.0,24.5188,0.9611,2187761.5101,1582845.4525,1601501.1,586260.4101,0.0,4006.08,3,35.0,Validate demand signal and supplier capacity; prepare alternate sourcing if demand persists
2,2,P2 - High,P01905,OfficePro Storage 01905,Office Supplies,Intermittent,56.01,High,100.0,High,96.34,Very High,Forecast Accuracy,100.0,3,1.6218,8.833,0.0,129.2737,17.91,3.2498,0.0,46.6667,66.2431,0.0,23.51,0.9785,9147111.9199,3465840.7064,5087853.45,4059258.4699,0.0,5159.73,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
3,2,P2 - High,P01633,WriteWell Writing 01633,Office Supplies,Intermittent,55.28,High,100.0,High,89.31,Very High,Forecast Accuracy,100.0,3,1.2036,4.2056,0.0,147.4706,17.74,3.4052,0.0,42.2917,69.1895,0.0,24.5266,0.9769,5367438.351,2009032.1748,3283941.96,2083496.391,0.0,21923.27,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
4,2,P2 - High,P01884,WriteWell Storage 01884,Office Supplies,Intermittent,53.55,High,100.0,High,73.96,High,Forecast Accuracy,100.0,3,1.0,130.2857,0.0,140.5408,17.08,3.3608,0.0,33.125,74.0483,0.0,26.0264,0.976,2849490.7775,1033795.2541,1532364.43,1317126.3475,0.0,4139.3,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
5,2,P2 - High,P01344,PaperWorks Storage 01344,Office Supplies,Intermittent,53.19,High,100.0,High,46.65,Medium,Forecast Accuracy,100.0,3,1.0,7.7952,0.0,117.8651,17.43,3.806,0.0,40.0,68.5789,0.0,24.1491,0.9729,1055131.4165,389660.0321,624143.36,430988.0565,0.0,7.0,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
6,2,P2 - High,P00215,WriteWell Desk Accessories 00215,Office Supplies,Intermittent,52.87,High,100.0,High,31.47,Low,Forecast Accuracy,100.0,3,2.8019,16.944,0.0,178.0719,17.14,2.0623,0.0,42.7083,67.4128,0.0,22.6064,0.9862,426396.6836,158491.6473,198958.65,227438.0336,0.0,10329.94,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
7,2,P2 - High,P01338,DeskMate Desk Accessories 01338,Office Supplies,Intermittent,52.76,High,100.0,High,41.98,Medium,Forecast Accuracy,100.0,3,1.3576,30.1401,0.0,123.9066,17.27,2.9057,0.0,35.0,74.2896,0.0,26.7676,0.9792,747518.3952,274040.2437,422474.58,325043.8152,0.0,5400.87,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
8,2,P2 - High,P01925,OfficePro Writing 01925,Office Supplies,Intermittent,52.47,High,100.0,High,74.47,High,Forecast Accuracy,100.0,3,1.8555,21.9141,0.0,149.9772,15.55,1.0681,0.0,32.9,68.6517,0.0,24.6958,0.9934,2256499.1181,794287.6896,616168.5,1640330.6181,0.0,9834.54,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
9,2,P2 - High,P01860,DeskMate Writing 01860,Office Supplies,Intermittent,52.42,High,100.0,High,75.89,High,Forecast Accuracy,100.0,3,1.2519,11.7847,0.0,132.7488,16.02,3.1288,0.0,29.375,71.1648,0.0,24.4344,0.9797,3058746.204,1073619.9176,1401466.2,1657280.004,0.0,6333.38,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
10,2,P2 - High,P01802,PaperWorks Paper 01802,Office Supplies,Intermittent,52.23,High,100.0,High,79.65,High,Forecast Accuracy,100.0,3,1.0,70.3214,0.0,131.4993,15.75,2.0543,0.0,25.4167,75.4944,0.0,26.9324,0.9849,3034265.9758,1055317.7064,1348788.54,1685477.4358,0.0,21660.57,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
11,2,P2 - High,P01156,OfficePro Desk Accessories 01156,Office Supplies,Intermittent,52.2,High,100.0,High,61.74,High,Forecast Accuracy,100.0,3,1.0,8.8915,0.0,237.1755,15.79,0.9373,0.0,32.5,70.9213,0.0,25.6218,0.9934,1407851.289,498097.786,398754.72,1009096.569,0.0,12415.58,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
12,2,P2 - High,P00648,WriteWell Paper 00648,Office Supplies,Intermittent,51.98,High,100.0,High,42.07,Medium,Forecast Accuracy,100.0,3,0.837,186.3571,0.0,121.7718,16.49,2.3168,0.0,33.125,72.1567,0.0,25.1464,0.9837,734359.7404,263341.4029,367923.27,366436.4704,0.0,13721.28,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
13,2,P2 - High,P00071,WriteWell Paper 00071,Office Supplies,Intermittent,51.74,High,100.0,High,36.53,Low,Forecast Accuracy,100.0,3,1.0,70.5357,0.0,122.8262,16.47,3.059,0.0,34.5833,69.09,0.0,24.5126,0.979,633128.6855,226723.3823,337419.33,295709.3555,0.0,5837.15,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
14,2,P2 - High,P01153,DeskMate Paper 01153,Office Supplies,Intermittent,51.5,High,100.0,High,85.48,Very High,Forecast Accuracy,100.0,3,1.0,4.2416,0.0,123.2781,14.39,0.3282,0.0,28.0,67.2649,0.0,26.097,0.9981,3119265.1672,1056807.0386,360542.0,2758723.1672,0.0,26.0,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
15,2,P2 - High,P01718,WriteWell Paper 01718,Office Supplies,Intermittent,51.13,High,100.0,High,53.05,Medium,Forecast Accuracy,100.0,3,1.0,106.2857,0.0,138.6203,16.16,5.3282,0.0,24.375,72.695,0.0,26.8813,0.9632,1397445.2692,483516.0632,1014897.42,382547.8492,0.0,37548.05,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
