product_id,product_name,category,subcategory,brand,demand_class,selling_price,unit_cost,base_daily_demand,gross_profit,gross_margin_pct,daily_gross_profit,annual_gross_profit,inventory_risk_score,stockout_risk,service_risk,volatility_risk,supplier_risk,excess_inventory_risk,total_lost_sales,average_daily_demand,inventory_days,fill_rate,supplier_delay_rate,average_supplier_delay,risk_class,primary_risk_driver,baseline_total_cost,optimized_total_cost,cost_savings,lost_sales_reduction,baseline_lost_sales,optimized_lost_sales,baseline_fill_rate,optimized_fill_rate,baseline_stockout_rate,optimized_stockout_rate,baseline_inventory_days,optimized_inventory_days,safety_stock_change,inventory_days_change,optimization_opportunity,anomaly_severity_score,max_anomaly_deviation,max_anomaly_z,anomaly_event_count,anomaly_count_demand_drop,anomaly_count_demand_spike,anomaly_count_normal,demand_anomaly_flag,forecast_change_pct,max_forecast_increase_pct,max_forecast_decrease_pct,forecast_change_volatility,forecast_increase_flag,forecast_decrease_flag,wape,max_wape,forecast_observations,forecast_accuracy_risk,inventory_component,stockout_component,service_component,supplier_component,volatility_component,excess_inventory_component,forecast_accuracy_component,anomaly_component,forecast_increase_component,forecast_decrease_component,forecast_change_component,demand_supply_mismatch,demand_supplier_collision,forecast_inventory_gap,uncertainty_supplier_exposure,inventory_service_collision,supplier_inventory_collision,forecast_uncertainty_collision,obsolescence_exposure,compound_risk_count,compound_risk_flag,compound_risk_score,risk_score_base,risk_score_pre_compound,risk_score,primary_risk_driver_score,secondary_risk_driver_score,lost_sales_exposure,daily_profit_exposure,thirty_day_profit_exposure,supplier_delay_exposure,forecast_increase_exposure,excess_inventory,inventory_obsolescence_exposure,estimated_financial_exposure,risk_probability,at_risk_value,service_risk_value,business_value_percentile,exposure_percentile,business_impact_score,business_impact_class,evidence_count,confidence_score,confidence_class,business_impact_adjustment,risk_score_before_business,management_priority,priority_rank,recommended_action,risk_label
P01620,OfficePro Storage 01620,Office Supplies,Storage,OfficePro,Intermittent,1900.38,1401.47,327.93,498.91,0.2625,163607.55630000003,59716758.04950001,21.2,5.5328,0.0,71.7511,58.5417,0.0,3210,113.07123287671232,24.5188,0.9611,0.5,3.583333333333333,Critical,Forecast Accuracy,11435.24,6594.11,4841.13,499.0,499.0,0.0,0.994,1.0,0.0027,0.0,25.74,23.74,538.0,-1.99,5340.13,3,1.0,120.6786,1,1,0,0,1,0.0,0,0,0.0,0,0,189.5952,456.96873343932174,12,100,21.2,5.532764888808786,0.0,58.54166666666666,71.75114006050165,0.0,100,70.3,0.0,0.0,0.0,0,1,0,1,0,0,1,0,3,1,35.0,45.593,45.593,85.29,100.0,71.75114006050165,1601501.1,163607.55630000003,4908226.689000001,586260.4101,0.0,0.0,0.0,2187761.5101,0.7235,1582845.4525,190877.4645,51.5,73.85000000000001,64.91,High,5,100.0,High,4.7,80.59,P1 - Immediate,1,Validate demand signal and supplier capacity; prepare alternate sourcing if demand persists,Critical | P1 - Immediate
P01905,OfficePro Storage 01905,Office Supplies,Storage,OfficePro,Intermittent,5000.0,3177.05,468.79,1822.95,0.3646,854580.7305000001,311921966.63250005,17.91,3.2498,0.0,66.2431,46.6667,0.0,2791,177.5041095890411,23.51,0.9785,0.3333333333333333,4.75,High,Forecast Accuracy,20283.01,11609.82,8673.19,899.0,1011.0,112.0,0.9922,0.9991,0.0041,0.0014,26.9,27.79,794.0,0.89,9572.19,3,1.6218,8.833,1,0,1,0,1,0.0,0,0,0.0,0,0,129.2737,202.1989528795812,12,100,17.91,3.2498054273968795,0.0,46.66666666666667,66.24308266770666,0.0,100,70.48653721682848,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,42.3616,42.3616,56.01,100.0,70.48653721682848,5087853.45,854580.7305000001,25637421.915000003,4059258.4699,0.0,0.0,0.0,9147111.9199,0.3789,3465840.7064,552208.2805,95.5,96.89999999999999,96.34,Very High,5,100.0,High,3.65,52.36,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01633,WriteWell Writing 01633,Office Supplies,Writing,WriteWell,Intermittent,4208.88,2535.96,321.4,1672.92,0.3975,537676.488,196251918.12,17.74,3.4052,0.0,69.1895,42.2917,0.0,1963,116.44383561643836,24.5266,0.9769,0.3333333333333333,3.875,High,Forecast Accuracy,39477.99,9474.93,30003.06,3297.0,3297.0,0.0,0.9612,1.0,0.0151,0.0,25.37,38.86,538.0,13.49,33300.06,3,1.2036,4.2056,1,0,1,0,1,0.0,0,0,0.0,0,0,147.4706,445.70013507429087,12,100,17.74,3.405193502578122,0.0,42.29166666666667,69.18947552758024,0.0,100,70.36109461179466,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,41.9402,41.9402,55.28,100.0,70.36109461179466,3283941.96,537676.488,16130294.64,2083496.391,0.0,0.0,0.0,5367438.351,0.3743,2009032.1748,372497.3928,87.3,90.64999999999999,89.31,Very High,5,100.0,High,3.34,51.94,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01884,WriteWell Storage 01884,Office Supplies,Storage,WriteWell,Intermittent,2375.12,1780.95,443.35,594.17,0.2502,263425.2695,96150223.36749999,17.08,3.3608,0.0,74.0483,33.125,0.0,2579,147.0849315068493,26.0264,0.976,0.25,5.0,High,Forecast Accuracy,21641.85,12483.74,9158.11,1232.0,1340.0,108.0,0.9875,0.999,0.0041,0.0014,25.89,37.32,717.0,11.43,10390.11,3,1.0,130.2857,1,1,0,0,1,0.0,0,0,0.0,0,0,140.5408,209.6732026143791,12,100,17.08,3.3608338491859566,0.0,33.125,74.04828432640743,0.0,100,70.3,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,40.8716,40.8716,53.55,100.0,74.04828432640743,1532364.43,263425.2695,7902758.085,1317126.3475,0.0,0.0,0.0,2849490.7775,0.3628,1033795.2541,189818.6967,65.95,79.3,73.96,High,5,100.0,High,2.68,50.87,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01344,PaperWorks Storage 01344,Office Supplies,Storage,PaperWorks,Intermittent,3068.03,1849.0,70.71,1219.03,0.3973,86197.61129999999,31462128.124499995,17.43,3.806,0.0,68.5789,40.0,0.0,512,25.87945205479452,24.1491,0.9729,0.25,5.0,High,Forecast Accuracy,4919.4,2208.72,2710.68,306.0,306.0,0.0,0.9838,1.0,0.0068,0.0,24.33,30.6,119.0,6.27,3016.68,3,1.0,7.7952,1,1,0,0,1,0.0,0,0,0.0,0,0,117.8651,157.31182575637843,12,100,17.43,3.806032269946836,0.0,40.0,68.57891344356688,0.0,100,70.3,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,41.4657,41.4657,53.19,100.0,70.3,624143.36,86197.61129999999,2585928.3389999997,430988.0565,0.0,0.0,0.0,1055131.4165,0.3693,389660.0321,70082.3264,34.949999999999996,54.449999999999996,46.65,Medium,5,100.0,High,1.72,51.47,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P00215,WriteWell Desk Accessories 00215,Office Supplies,Desk Accessories,WriteWell,Intermittent,882.33,735.28,360.89,147.05,0.1667,53068.874500000005,19370139.192500003,17.14,2.0623,0.0,67.4128,42.7083,0.0,1353,134.56301369863013,22.6064,0.9862,0.2916666666666667,4.285714285714286,High,Forecast Accuracy,14067.47,8244.53,5822.95,667.0,667.0,0.0,0.9932,1.0,0.0041,0.0,25.16,28.31,610.0,3.15,6489.95,3,2.8019,16.944,1,0,1,0,1,0.0,0,0,0.0,0,0,178.0719,437.96740172579104,12,100,17.14,2.062297104267645,0.0,42.70833333333333,67.41282100860678,0.0,100,70.84056113612746,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,41.7038,41.7038,52.87,100.0,70.84056113612746,198958.65,53068.874500000005,1592066.235,227438.0336,0.0,0.0,0.0,426396.6836,0.3717,158491.6473,21928.5726,25.95,35.15,31.47,Low,5,100.0,High,1.17,51.7,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01338,DeskMate Desk Accessories 01338,Office Supplies,Desk Accessories,DeskMate,Intermittent,2388.14,1831.52,157.22,556.62,0.2331,87511.7964,31941805.686,17.27,2.9057,0.0,74.2896,35.0,0.0,759,49.895890410958906,26.7676,0.9792,0.2916666666666667,3.7142857142857135,High,Forecast Accuracy,8324.22,4274.66,4049.56,496.0,496.0,0.0,0.9864,1.0,0.0055,0.0,27.45,38.58,244.0,11.13,4545.56,3,1.3576,30.1401,1,0,1,0,1,0.0,0,0,0.0,0,0,123.9066,158.4203827074418,12,100,17.27,2.905708715313402,0.0,35.00000000000001,74.28958692995086,0.0,100,70.40729166666667,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,41.2232,41.2232,52.76,100.0,74.28958692995086,422474.58,87511.7964,2625353.892,325043.8152,0.0,0.0,0.0,747518.3952,0.3666,274040.2437,54706.8857,35.35,46.400000000000006,41.98,Medium,5,100.0,High,1.54,51.22,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01925,OfficePro Writing 01925,Office Supplies,Writing,OfficePro,Intermittent,5000.0,4044.7,364.23,955.3,0.1911,347948.919,127001355.435,15.55,1.0681,0.0,68.6517,32.9,0.0,645,134.45342465753424,24.6958,0.9934,0.28,4.714285714285714,High,Forecast Accuracy,11708.32,12099.42,-391.1,-97.0,455.0,552.0,0.9954,0.9944,0.0027,0.0055,24.3,19.91,285.0,-4.38,0.0,3,1.8555,21.9141,1,0,1,0,1,0.0,0,0,0.0,0,0,149.9772,255.36753040719196,12,100,15.55,1.0681096208623475,0.0,32.900000000000006,68.65173269272421,0.0,100,70.55664335664335,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,39.8524,39.8524,52.47,100.0,70.55664335664335,616168.5,347948.919,10438467.57,1640330.6181,0.0,0.0,0.0,2256499.1181,0.352,794287.6896,68596.4645,74.8,74.25,74.47,High,5,100.0,High,2.62,49.85,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01860,DeskMate Writing 01860,Office Supplies,Writing,DeskMate,Intermittent,1778.92,1162.62,448.18,616.3,0.3464,276213.334,100817866.91,16.02,3.1288,0.0,71.1648,29.375,0.0,2274,153.23424657534247,24.4344,0.9797,0.2083333333333333,6.0,High,Forecast Accuracy,14031.84,9947.01,4084.84,573.0,598.0,25.0,0.9947,0.9998,0.0041,0.0014,24.23,29.6,724.0,5.37,4657.84,3,1.2519,11.7847,1,0,1,0,1,0.0,0,0,0.0,0,0,132.7488,191.20399498812543,12,100,16.02,3.128770503216259,0.0,29.375,71.16480178386861,0.0,100,70.37556205446901,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,39.7593,39.7593,52.42,100.0,71.16480178386861,1401466.2,276213.334,8286400.02,1657280.004,0.0,0.0,0.0,3058746.204,0.351,1073619.9176,168452.5764,68.0,81.15,75.89,High,5,100.0,High,2.66,49.76,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01802,PaperWorks Paper 01802,Office Supplies,Paper,PaperWorks,Intermittent,5000.0,3222.94,215.56,1777.06,0.3554,383063.0536,139818014.56399998,15.75,2.0543,0.0,75.4944,25.4167,0.0,759,69.02054794520548,26.9324,0.9849,0.2083333333333333,4.4,High,Forecast Accuracy,8034.19,4177.6,3856.59,349.0,349.0,0.0,0.9931,1.0,0.0041,0.0,28.39,21.39,158.0,-7.0,4205.59,3,1.0,70.3214,1,1,0,0,1,0.0,0,0,0.0,0,0,131.4993,199.792817679558,12,100,15.75,2.0543459199778145,0.0,25.416666666666675,75.49439456578394,0.0,100,70.3,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,39.4622,39.4622,52.23,100.0,75.49439456578394,1348788.54,383063.0536,11491891.608,1685477.4358,0.0,0.0,0.0,3034265.9758,0.3478,1055317.7064,173113.9373,77.85,80.85,79.65,High,5,100.0,High,2.77,49.46,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01156,OfficePro Desk Accessories 01156,Office Supplies,Desk Accessories,OfficePro,Intermittent,4686.27,3220.26,160.61,1466.01,0.3128,235455.8661,85941391.12650001,15.79,0.9373,0.0,70.9213,32.5,0.0,272,56.17397260273973,25.6218,0.9934,0.28,4.285714285714286,High,Forecast Accuracy,8181.72,6323.32,1858.4,202.0,474.0,272.0,0.9884,0.9934,0.0055,0.0027,25.07,26.51,122.0,1.44,2060.4,3,1.0,8.8915,1,1,0,0,1,0.0,0,0,0.0,0,0,237.1755,699.3730407523511,12,100,15.79,0.9372739903077022,0.0,32.5,70.92126165049778,0.0,100,70.3,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,40.0215,40.0215,52.2,100.0,70.92126165049778,398754.72,235455.8661,7063675.983,1009096.569,0.0,0.0,0.0,1407851.289,0.3538,498097.786,46853.4608,62.55,61.199999999999996,61.74,High,5,100.0,High,2.18,50.02,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
