product_id,category,demand_class,risk_class,primary_risk_driver,scenario_demand_multiplier,scenario_supplier_delay,scenario_supplier_delay_rate,scenario_safety_stock,scenario_reorder_point,scenario_order_quantity,scenario_purchase_quantity,scenario_purchase_orders,scenario_inventory_days,scenario_fill_rate,scenario_stockout_rate,scenario_lost_sales,scenario_total_cost,cost_change_vs_optimized,cost_savings_vs_optimized,lost_sales_change_vs_optimized,lost_sales_increase_vs_optimized,fill_rate_change_vs_optimized,inventory_days_change_vs_optimized,scenario_severity,scenario_recommendation,scenario
P00001,Home Appliances,Seasonal,Low,Demand Volatility,1.0,0.0,0.0,73.0,391.0,1362.0,21792.0,16.0,24.95,0.99,0.011,221.0,4120.57,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00002,Accessories,Stable,Low,Demand Volatility,1.0,0.0,0.0,192.0,1059.0,3466.0,83184.0,24.0,17.05,0.9982,0.0027,154.0,6079.03,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00003,Office Supplies,Stable,Low,Supplier,1.0,0.0,0.0,444.0,2467.0,12138.0,194208.0,16.0,24.67,0.9979,0.0027,417.0,17878.85,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00004,Personal Care,Seasonal,Low,Supplier,1.0,0.17,0.0833,684.0,3694.0,8601.0,206424.0,24.0,17.61,0.9877,0.0151,2575.0,36445.22,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00005,Electronics,Seasonal,Low,Demand Volatility,1.0,0.56,0.1875,55.0,289.0,1003.0,16048.0,16.0,25.22,1.0,0.0,0.0,1524.75,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00006,Electronics,Volatile,Low,Demand Volatility,1.0,0.0,0.0,62.0,330.0,805.0,12880.0,16.0,25.46,0.9903,0.0123,126.0,2570.72,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00007,Electronics,Stable,Low,Supplier,1.0,0.0,0.0,43.0,229.0,1116.0,17856.0,16.0,24.08,0.9941,0.0068,106.0,2654.95,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00008,Accessories,Stable,Low,Supplier,1.0,0.0,0.0,374.0,2063.0,10134.0,162144.0,16.0,24.69,0.9987,0.0041,216.0,13682.57,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00009,Personal Care,Trending,Low,Supplier,1.0,0.0,0.0,426.0,1979.0,5482.0,131568.0,24.0,17.85,0.996,0.0068,534.0,12461.56,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00010,Office Supplies,Intermittent,High,Demand Volatility,1.0,0.78,0.1429,1164.0,2700.0,1245.0,61005.0,49.0,20.5,0.9967,0.0014,197.0,6598.56,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00011,Electronics,Volatile,Medium,Supplier,1.0,0.5,0.125,54.0,237.0,550.0,8800.0,16.0,26.12,0.9997,0.0014,3.0,1068.65,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00012,Accessories,Trending,Low,Supplier,1.0,0.19,0.0625,757.0,3487.0,14453.0,231248.0,16.0,24.71,0.9913,0.0096,2041.0,36684.66,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00013,Accessories,Trending,Low,Demand Volatility,1.0,0.31,0.1875,539.0,2490.0,10330.0,165280.0,16.0,25.62,0.9972,0.0041,463.0,16794.14,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00014,Electronics,Volatile,Low,Supplier,1.0,1.0,0.3125,15.0,81.0,197.0,3152.0,16.0,25.0,0.9934,0.0096,21.0,828.59,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00015,Electronics,Volatile,Medium,Supplier,1.0,0.25,0.0833,116.0,508.0,784.0,18816.0,24.0,18.25,0.9908,0.0123,175.0,3303.14,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00016,Electronics,Trending,Low,Supplier,1.0,0.0,0.0,43.0,199.0,824.0,13184.0,16.0,25.77,0.9984,0.0027,22.0,1563.98,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00017,Home Appliances,Stable,Low,Supplier,1.0,0.12,0.0625,7.0,37.0,180.0,2880.0,16.0,23.73,0.9925,0.0082,22.0,810.01,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00018,Personal Care,Trending,Low,Demand Volatility,1.0,0.21,0.125,494.0,2300.0,6373.0,152952.0,24.0,17.83,0.995,0.0068,768.0,15854.88,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00019,Home Appliances,Seasonal,Low,Demand Volatility,1.0,0.5,0.1875,34.0,183.0,639.0,10224.0,16.0,26.16,0.9966,0.0055,35.0,1492.42,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00020,Home Appliances,Stable,Low,Demand Volatility,1.0,0.0,0.0,45.0,248.0,1216.0,19456.0,16.0,23.99,0.9974,0.0055,51.0,2206.3,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00021,Personal Care,Seasonal,Low,Supplier,1.0,0.04,0.0417,193.0,1044.0,2433.0,58392.0,24.0,17.42,0.9909,0.0123,537.0,8794.38,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00022,Electronics,Seasonal,Low,Demand Volatility,1.0,0.12,0.0625,62.0,329.0,1142.0,18272.0,16.0,24.48,0.9905,0.0123,176.0,3402.73,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00023,Home Appliances,Seasonal,Low,Demand Volatility,1.0,0.12,0.125,44.0,233.0,810.0,12960.0,16.0,24.35,0.9868,0.0151,173.0,3006.22,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00024,Home Appliances,Stable,Low,Demand Volatility,1.0,0.19,0.1875,6.0,33.0,161.0,2576.0,16.0,24.28,0.9981,0.0027,5.0,623.73,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00025,Personal Care,Seasonal,Low,Demand Volatility,1.0,0.25,0.125,720.0,3881.0,13548.0,216768.0,16.0,24.86,0.9931,0.0096,1523.0,30600.39,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00026,Office Supplies,Trending,Medium,Supplier,1.0,0.25,0.125,1028.0,3940.0,10279.0,246696.0,24.0,17.13,0.9962,0.0068,959.0,21931.54,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00027,Electronics,Trending,Medium,Supplier,1.0,0.38,0.1875,36.0,138.0,540.0,8640.0,16.0,25.09,0.9989,0.0027,10.0,1102.26,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00028,Personal Care,Stable,Low,Supplier,1.0,0.12,0.125,253.0,1403.0,6903.0,110448.0,16.0,24.66,0.9987,0.0027,151.0,9474.58,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00029,Personal Care,Trending,Low,Supplier,1.0,0.31,0.1875,744.0,3456.0,14355.0,229680.0,16.0,24.96,1.0,0.0,0.0,16326.42,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00030,Electronics,Volatile,Low,Demand Volatility,1.0,0.0,0.0,36.0,190.0,461.0,7376.0,16.0,26.4,1.0,0.0,0.0,940.65,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00031,Personal Care,Seasonal,Low,Supplier,1.0,0.12,0.0625,185.0,1000.0,3494.0,55904.0,16.0,25.38,0.998,0.0041,116.0,5500.3,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00032,Electronics,Volatile,Low,Supplier,1.0,0.12,0.0625,19.0,102.0,248.0,3968.0,16.0,27.62,1.0,0.0,0.0,703.89,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00033,Electronics,Stable,Low,Demand Volatility,1.0,0.0,0.0,18.0,97.0,475.0,7600.0,16.0,24.01,0.9987,0.0014,10.0,1006.6,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00034,Accessories,Volatile,Medium,Supplier,1.0,0.56,0.125,1042.0,4588.0,10637.0,170192.0,16.0,26.03,0.9962,0.0055,655.0,19257.45,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00035,Accessories,Volatile,Low,Demand Volatility,1.0,0.25,0.0833,499.0,2695.0,4391.0,105384.0,24.0,18.01,0.9852,0.0178,1585.0,21720.98,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00036,Accessories,Volatile,Low,Supplier,1.0,0.33,0.0833,253.0,1363.0,2219.0,53256.0,24.0,18.45,0.9924,0.0082,412.0,7449.52,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00037,Home Appliances,Seasonal,Low,Demand Volatility,1.0,0.0,0.0,16.0,87.0,303.0,4848.0,16.0,24.7,0.9929,0.0096,35.0,1082.87,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00038,Electronics,Trending,Low,Demand Volatility,1.0,0.08,0.0417,31.0,142.0,393.0,9432.0,24.0,17.46,0.9911,0.011,85.0,1907.11,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00039,Office Supplies,Intermittent,High,Demand Volatility,1.0,0.6,0.12,2195.0,5199.0,4872.0,121800.0,25.0,28.57,0.9957,0.0014,505.0,14953.11,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00040,Home Appliances,Volatile,Low,Demand Volatility,1.0,0.38,0.125,42.0,227.0,556.0,8896.0,16.0,25.58,0.9908,0.011,83.0,1861.61,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00041,Electronics,Stable,Low,Demand Volatility,1.0,0.04,0.0417,52.0,280.0,910.0,21840.0,24.0,16.94,0.996,0.0055,89.0,2517.66,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
