product_id,category,demand_class,risk_class,primary_risk_driver,scenario_demand_multiplier,scenario_supplier_delay,scenario_supplier_delay_rate,scenario_safety_stock,scenario_reorder_point,scenario_order_quantity,scenario_purchase_quantity,scenario_purchase_orders,scenario_inventory_days,scenario_fill_rate,scenario_stockout_rate,scenario_lost_sales,scenario_total_cost,cost_change_vs_optimized,cost_savings_vs_optimized,lost_sales_change_vs_optimized,lost_sales_increase_vs_optimized,fill_rate_change_vs_optimized,inventory_days_change_vs_optimized,scenario_severity,scenario_recommendation,scenario,optimized_safety_stock,optimized_reorder_point,optimized_order_quantity,optimized_order_coverage_days,optimized_fill_rate,optimized_stockout_rate,optimized_lost_sales,optimized_inventory_days,optimized_total_cost,optimized_supplier_delay_rate,optimized_average_supplier_delay,decision_impact_score,urgency_score,recommendation_confidence,management_decision,scenario_cost,optimized_total_cost_base,optimized_lost_sales_base,optimized_fill_rate_base,optimized_safety_stock_base,optimized_order_quantity_base,optimized_inventory_days_base,lost_sales_increase_pct,cost_increase_pct,supplier_exposure,supplier_exposure_score,baseline_risk_score,scenario_exposure_score,exposure_class,economic_exposure,recommended_buffer_rate,stress_adjusted_safety_stock,additional_safety_stock_required,stress_adjusted_order_quantity,additional_order_quantity_required,action_priority,risk_scenario_relationship,scenario_rationale,decision_confidence,scenario_opportunity_score,final_decision_score,scenario_rank
P00420,Office Supplies,Trending,Low,Supplier,1.2,0.299,0.1383,1201.25,6957.6,7408.8,348213.6,57.0,12.6141,0.9544,0.0488,6064.0,61605.2324,8011.19,-8011.1924,1689.0,1689.0,-0.031,2.0841,Severe,Immediate supplier contingency planning,Combined Stress,961.0,4460.0,6174.0,15.0,0.9854,0.0178,4375.0,10.53,53594.04,0.1064,0.23,0.0269,0.1605,Low,Reduce order quantity,61605.23,53594.04,4375.0,0.9854,961.0,6174.0,10.53,0.3861,0.1495,0.024472,0.0187,0.25,0.7607,Critical exposure,8011.1924,0.3,1249.3,288.0,8026.200000000001,1852.0,P1 - Immediate,Hidden scenario vulnerability,"Combined Stress creates critical exposure for this product. lost sales increase by 1,689 units, while modeled cost increases by ₹8,011. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Immediate supplier contingency planning. Stress-adjusted safety stock requires approximately 288 additional units.",High,0.7271712881813932,0.6833,4
P01600,Accessories,Volatile,Low,Demand Volatility,1.2,0.754,0.1625,1218.75,8210.28,10290.0,246960.0,29.0,22.413,0.9485,0.0502,5921.0,62091.3012,8074.4,-8074.4012,1649.0,1649.0,-0.031,3.703,Severe,Increase safety stock and prepare demand contingency,Combined Stress,975.0,5263.0,8575.0,30.0,0.9795,0.0192,4272.0,18.71,54016.9,0.125,0.58,0.0305,0.1793,Low,Maintain policy,62091.3,54016.9,4272.0,0.9795,975.0,8575.0,18.71,0.386,0.1495,0.0725,0.0554,0.25,0.757,Critical exposure,8074.4012,0.3,1267.5,292.0,11147.5,2572.0,P1 - Immediate,Hidden scenario vulnerability,"Combined Stress creates critical exposure for this product. lost sales increase by 1,649 units, while modeled cost increases by ₹8,074. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock and prepare demand contingency. Stress-adjusted safety stock requires approximately 292 additional units.",High,0.7181092384547154,0.6823,4
P00842,Office Supplies,Trending,Low,Supplier,1.2,0.403,0.1625,1760.0,10197.72,32581.2,521299.2,20.0,29.8401,0.9609,0.042,4963.0,76179.5018,9906.44,-9906.4418,1382.0,1382.0,-0.031,4.9301,Severe,Immediate supplier contingency planning,Combined Stress,1408.0,6537.0,27151.0,45.0,0.9919,0.011,3581.0,24.91,66273.06,0.125,0.31,0.028,0.1634,Low,Increase order quantity,76179.5,66273.06,3581.0,0.9919,1408.0,27151.0,24.91,0.3859,0.1495,0.03875,0.0296,0.25,0.7268,Critical exposure,9906.4418,0.3,1830.4,422.0,35296.3,8145.0,P1 - Immediate,Hidden scenario vulnerability,"Combined Stress creates critical exposure for this product. lost sales increase by 1,382 units, while modeled cost increases by ₹9,906. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Immediate supplier contingency planning. Stress-adjusted safety stock requires approximately 422 additional units.",High,0.6932060390763766,0.6547,4
P00070,Accessories,Volatile,Low,Supplier,1.2,0.169,0.0829,1141.25,7709.52,4834.8,227235.6,57.0,14.0156,0.9506,0.0543,5003.0,50071.232,6511.3,-6511.302,1393.0,1393.0,-0.031,2.3156,Severe,Increase inventory buffer and monitor service,Combined Stress,913.0,4942.0,4029.0,15.0,0.9816,0.0233,3610.0,11.7,43559.93,0.0638,0.13,0.2105,0.1675,Medium,Immediate intervention,50071.23,43559.93,3610.0,0.9816,913.0,4029.0,11.7,0.3859,0.1495,0.008294,0.0063,0.25,0.6754,High exposure,6511.302000000003,0.2,1095.6,183.0,4834.8,806.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,393 units, while modeled cost increases by ₹6,511. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase inventory buffer and monitor service. Stress-adjusted safety stock requires approximately 183 additional units.",High,0.6104566647002672,0.5988,4
P01255,Office Supplies,Trending,Low,Demand Volatility,1.2,0.078,0.0812,1766.25,10233.6,32695.2,523123.2,20.0,29.5526,0.9621,0.0392,4255.0,70094.1476,9115.1,-9115.0976,1185.0,1185.0,-0.031,4.8826,Severe,Increase safety stock for demand stress,Combined Stress,1413.0,6560.0,27246.0,45.0,0.9931,0.0082,3070.0,24.67,60979.05,0.0625,0.06,0.0394,0.1107,Medium,Increase order quantity,70094.15,60979.05,3070.0,0.9931,1413.0,27246.0,24.67,0.386,0.1495,0.00375,0.0029,0.25,0.6714,High exposure,9115.097599999994,0.2,1695.6,283.0,32695.199999999997,5449.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,185 units, while modeled cost increases by ₹9,115. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 283 additional units.",High,0.6207489156806945,0.5988,4
P00973,Office Supplies,Intermittent,Critical,Demand Volatility,1.2,3.211,0.6882,1586.25,4336.8,4408.8,74949.6,21.0,42.7776,0.969,0.031,0.0,7191.2566,935.16,-935.1566,0.0,0.0,-0.031,7.0676,Low,Increase supplier monitoring and establish backup supply,Combined Stress,1269.0,2780.0,3674.0,45.0,1.0,0.0,0.0,35.71,6256.1,0.5294,2.47,0.278,0.5256,High,Immediate intervention,7191.26,6256.1,0.0,1.0,1269.0,3674.0,35.71,0.0,0.1495,1.3076180000000002,1.0,1.0,0.5142,High exposure,935.1565999999993,0.2,1522.8,254.0,4408.8,735.0,P2 - High,Persistent high risk,"Combined Stress creates high exposure for this product. lost sales increase by 0 units, while modeled cost increases by ₹935. Fill rate changes by -3.10%. The product is classified as 'Persistent high risk'. Recommended action: Increase supplier monitoring and establish backup supply. Stress-adjusted safety stock requires approximately 254 additional units.",Medium,0.3235997096354011,0.5975,4
P00470,Accessories,Volatile,Low,Demand Volatility,1.2,0.65,0.1625,1141.25,7717.32,9681.6,232358.4,29.0,22.6646,0.9519,0.0515,4643.0,50897.2937,6618.72,-6618.7237,1293.0,1293.0,-0.031,3.7446,Severe,Increase safety stock for demand stress,Combined Stress,913.0,4947.0,8068.0,30.0,0.9829,0.0205,3350.0,18.92,44278.57,0.125,0.5,0.0298,0.1688,Low,Maintain policy,50897.29,44278.57,3350.0,0.9829,913.0,8068.0,18.92,0.386,0.1495,0.0625,0.0478,0.25,0.6604,High exposure,6618.723700000002,0.2,1095.6,183.0,9681.6,1614.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,293 units, while modeled cost increases by ₹6,619. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 183 additional units.",High,0.5865245859275339,0.5874,4
P00649,Office Supplies,Trending,Low,Demand Volatility,1.2,0.156,0.1083,1503.75,8689.2,18495.6,443894.4,29.0,20.2089,0.9604,0.042,4486.0,57829.1244,7520.14,-7520.1444,1249.0,1249.0,-0.031,3.3389,Severe,Increase safety stock for demand stress,Combined Stress,1203.0,5570.0,15413.0,30.0,0.9914,0.011,3237.0,16.87,50308.98,0.0833,0.12,0.0258,0.1292,Low,Maintain policy,57829.12,50308.98,3237.0,0.9914,1203.0,15413.0,16.87,0.3859,0.1495,0.009996,0.0076,0.25,0.661,High exposure,7520.144399999997,0.2,1443.6,241.0,18495.6,3083.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,249 units, while modeled cost increases by ₹7,520. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 241 additional units.",High,0.5975500199005428,0.5867,4
P01612,Office Supplies,Trending,Low,Demand Volatility,1.2,0.0,0.0,1683.75,9776.52,31260.0,500160.0,20.0,29.6724,0.9622,0.0392,3975.0,66387.6405,8633.1,-8633.1005,1107.0,1107.0,-0.031,4.9024,Severe,Increase safety stock for demand stress,Combined Stress,1347.0,6267.0,26050.0,45.0,0.9932,0.0082,2868.0,24.77,57754.54,0.0,0.0,0.025,0.1267,Low,Increase order quantity,66387.64,57754.54,2868.0,0.9932,1347.0,26050.0,24.77,0.386,0.1495,0.0,0.0,0.25,0.6476,High exposure,8633.100499999993,0.2,1616.3999999999999,269.0,31260.0,5210.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,107 units, while modeled cost increases by ₹8,633. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 269 additional units.",High,0.5878036589890561,0.5752,4
P00852,Office Supplies,Trending,Low,Demand Volatility,1.2,0.104,0.0542,1455.0,8419.32,17929.2,430300.8,29.0,21.9818,0.9606,0.0406,4249.0,56947.175,7405.46,-7405.455,1183.0,1183.0,-0.031,3.6318,Severe,Increase safety stock for demand stress,Combined Stress,1164.0,5397.0,14941.0,30.0,0.9916,0.0096,3066.0,18.35,49541.72,0.0417,0.08,0.0253,0.134,Low,Maintain policy,56947.18,49541.72,3066.0,0.9916,1164.0,14941.0,18.35,0.3858,0.1495,0.003336,0.0026,0.25,0.645,High exposure,7405.455000000002,0.2,1396.8,233.0,17929.2,2988.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,183 units, while modeled cost increases by ₹7,405. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 233 additional units.",High,0.5770713367733715,0.571,4
