product_id,category,demand_class,risk_class,primary_risk_driver,scenario_demand_multiplier,scenario_supplier_delay,scenario_supplier_delay_rate,scenario_safety_stock,scenario_reorder_point,scenario_order_quantity,scenario_purchase_quantity,scenario_purchase_orders,scenario_inventory_days,scenario_fill_rate,scenario_stockout_rate,scenario_lost_sales,scenario_total_cost,cost_change_vs_optimized,cost_savings_vs_optimized,lost_sales_change_vs_optimized,lost_sales_increase_vs_optimized,fill_rate_change_vs_optimized,inventory_days_change_vs_optimized,scenario_severity,scenario_recommendation,scenario,scenario_opportunity_score,opportunity_class
P01595,Office Supplies,Trending,Low,Demand Volatility,1.2,0.273,0.1083,1660.0,9623.64,20502.0,492048.0,29.0,20.101,0.957,0.0461,6927.0,80108.8354,10417.4154,-10417.4154,1929.0,1929.0,-0.031,3.321,Severe,Immediate contingency planning,Combined Stress,0.7749999999999999,Critical exposure
P01187,Office Supplies,Trending,Low,Demand Volatility,1.2,0.0,0.0,1735.0,10057.32,21426.0,514224.0,29.0,20.5083,0.9586,0.0447,6273.0,76145.2473,9901.9873,-9901.9873,1747.0,1747.0,-0.031,3.3883,Severe,Immediate contingency planning,Combined Stress,0.720173382965342,High exposure
P00250,Accessories,Trending,Low,Demand Volatility,1.2,0.325,0.1625,881.25,5070.0,10779.6,258710.4,29.0,20.0891,0.949,0.0529,6046.0,62376.8318,8111.5318,-8111.5318,1684.0,1684.0,-0.031,3.3191,Severe,Immediate contingency planning,Combined Stress,0.662508805366089,High exposure
P00877,Office Supplies,Trending,Low,Demand Volatility,1.2,0.0,0.0,1242.5,7194.72,15324.0,367776.0,29.0,20.3047,0.9567,0.0474,5278.0,61053.7583,7939.4783,-7939.4783,1470.0,1470.0,-0.031,3.3547,Severe,Immediate contingency planning,Combined Stress,0.6084575786487507,High exposure
P01215,Office Supplies,Trending,Low,Supplier,1.2,0.377,0.2167,1657.5,9615.84,20490.0,491760.0,29.0,20.9995,0.9603,0.0433,5035.0,65387.1223,8502.9923,-8502.9923,1402.0,1402.0,-0.031,3.4695,Severe,Immediate contingency planning,Combined Stress,0.6061178010868808,High exposure
P01794,Office Supplies,Trending,Low,Demand Volatility,1.2,0.195,0.1383,1108.75,6428.76,6849.6,321931.2,57.0,11.8714,0.9553,0.0529,5265.0,53685.4589,6981.2989,-6981.2989,1466.0,1466.0,-0.031,1.9614,Severe,Immediate contingency planning,Combined Stress,0.5845297998955951,High exposure
P00750,Personal Care,Seasonal,Low,Supplier,1.2,0.221,0.1106,783.75,5289.96,4738.8,222723.6,57.0,12.075,0.9497,0.0515,5135.0,50042.7939,6507.6039,-6507.6039,1430.0,1430.0,-0.031,1.995,Severe,Immediate contingency planning,Combined Stress,0.5647638032513355,High exposure
P00572,Office Supplies,Trending,Low,Supplier,1.2,0.65,0.2438,1835.0,10612.68,33891.6,542265.6,20.0,30.0677,0.9625,0.0392,4107.0,70740.7066,9199.1766,-9199.1766,1144.0,1144.0,-0.031,4.9677,Severe,Immediate contingency planning,Combined Stress,0.5626383982040714,High exposure
P01207,Office Supplies,Trending,Low,Demand Volatility,1.2,0.494,0.2438,1768.75,10246.08,32738.4,523814.4,20.0,28.9417,0.9624,0.0406,4076.0,67946.2653,8835.7853,-8835.7853,1135.0,1135.0,-0.031,4.7817,Severe,Immediate contingency planning,Combined Stress,0.5518181004016468,High exposure
P01179,Office Supplies,Trending,Low,Demand Volatility,1.2,0.0,0.0,1423.75,8247.72,17569.2,421660.8,29.0,21.3349,0.9599,0.042,4485.0,57872.8621,7525.8321,-7525.8321,1249.0,1249.0,-0.031,3.5249,Severe,Immediate contingency planning,Combined Stress,0.5469755734175689,High exposure
P00208,Office Supplies,Trending,Low,Supplier,1.2,0.156,0.1083,1165.0,6740.76,14354.4,344505.6,29.0,21.275,0.9577,0.0447,4572.0,54896.0444,7138.7244,-7138.7244,1273.0,1273.0,-0.031,3.515,Severe,Immediate contingency planning,Combined Stress,0.5432844121939803,High exposure
P01255,Office Supplies,Trending,Low,Demand Volatility,1.2,0.156,0.1083,1766.25,10233.6,21796.8,523123.2,29.0,21.3469,0.962,0.0378,4270.0,60906.2457,7920.2957,-7920.2957,1189.0,1189.0,-0.031,3.5269,Severe,Immediate contingency planning,Combined Stress,0.5424451298044858,High exposure
P01772,Office Supplies,Trending,Low,Supplier,1.2,0.052,0.0542,1513.75,8767.2,18674.4,448185.6,29.0,20.5802,0.9611,0.0406,4137.0,55484.6007,7215.2607,-7215.2607,1152.0,1152.0,-0.031,3.4002,Severe,Immediate contingency planning,Combined Stress,0.5168940907189188,High exposure
