scenario,product_id,category,demand_class,fill_rate,stockout_rate,lost_sales,average_inventory,inventory_days,purchase_orders,purchase_quantity,supplier_delay_rate,average_actual_lead_time,average_supplier_delay
Baseline,P00001,Home Appliances,Seasonal,0.9692718468570394,0.03424657534246575,679,487.14246575342463,16.093315834728696,23,20884,0.08695652173913043,11.043478260869565,0.17391304347826086
Baseline,P00002,Accessories,Stable,0.9930994415527442,0.010958904109589041,582,1840.386301369863,15.929168494563736,24,83184,0.0,7.375,0.0
Baseline,P00003,Office Supplies,Stable,0.989639358249661,0.019178082191780823,2040,4172.5150684931505,15.469535142382641,24,194208,0.08333333333333333,7.708333333333333,0.08333333333333333
Baseline,P00004,Personal Care,Seasonal,0.9831051864593039,0.019178082191780823,3536,4853.875342465753,16.92983109964404,24,206424,0.08333333333333333,9.958333333333334,0.20833333333333334
Baseline,P00005,Electronics,Seasonal,0.9728451188794004,0.031506849315068496,442,374.34657534246577,16.788904589297783,24,16056,0.08333333333333333,10.375,0.3333333333333333
Baseline,P00006,Electronics,Volatile,0.9768671007276906,0.024657534246575342,302,309.0876712328767,17.283339716583683,24,12888,0.0,14.833333333333334,0.0
Baseline,P00007,Electronics,Stable,0.9787410270568746,0.024657534246575342,385,388.0780821917808,15.643125345113198,24,17856,0.08333333333333333,7.875,0.125
Baseline,P00008,Accessories,Stable,0.9862593748289264,0.02054794520547945,2259,3413.621917808219,15.157533621649241,24,162144,0.125,8.125,0.20833333333333334
Baseline,P00009,Personal Care,Trending,0.9710091688095541,0.03424657534246575,3867,2878.686301369863,15.754466327303259,23,126086,0.08695652173913043,9.173913043478262,0.13043478260869565
Baseline,P00010,Office Supplies,Intermittent,0.9748857317294524,0.010958904109589041,1522,1930.7753424657535,23.257363496856595,24,59784,0.2916666666666667,20.375,1.25
Baseline,P00011,Electronics,Volatile,0.9527223840466055,0.05342465753424658,422,193.88082191780822,15.856262603629846,23,8441,0.21739130434782608,16.52173913043478,0.9130434782608695
Baseline,P00012,Accessories,Trending,0.9758173893016472,0.023287671232876714,5670,5126.505479452055,15.961158547507953,24,231264,0.041666666666666664,9.0,0.08333333333333333
Baseline,P00013,Accessories,Trending,0.9772051891014548,0.026027397260273973,3820,3716.1602739726027,16.18787817307348,24,165288,0.16666666666666666,8.541666666666666,0.25
Baseline,P00014,Electronics,Volatile,0.9815104982764024,0.01643835616438356,59,78.85616438356165,18.03979943591351,24,3144,0.25,14.083333333333334,0.8333333333333334
Baseline,P00015,Electronics,Volatile,0.9491765446344278,0.05342465753424658,969,446.3315068493151,17.089163956781704,23,18032,0.21739130434782608,15.217391304347826,0.782608695652174
Baseline,P00016,Electronics,Trending,0.9703858809452588,0.028767123287671233,396,292.8931506849315,15.989530361950344,23,12650,0.08695652173913043,8.91304347826087,0.13043478260869565
Baseline,P00017,Home Appliances,Stable,0.993157714676702,0.009589041095890411,20,65.76438356164384,16.424221690044476,24,2880,0.08333333333333333,7.291666666666667,0.125
Baseline,P00018,Personal Care,Trending,0.9818029404178489,0.024657534246575342,2822,3364.7520547945205,15.838721949961311,24,152952,0.0,8.583333333333334,0.0
Baseline,P00019,Home Appliances,Seasonal,0.9708494208494208,0.030136986301369864,302,229.03013698630136,16.138223938223938,24,10224,0.125,11.25,0.3333333333333333
Baseline,P00020,Home Appliances,Stable,0.9890483192212138,0.0136986301369863,216,429.57260273972605,15.899609592861127,24,19464,0.041666666666666664,7.5,0.08333333333333333
Baseline,P00021,Personal Care,Seasonal,0.9815687665771291,0.021917808219178082,1091,1290.3575342465754,15.913385028635144,24,58392,0.08333333333333333,10.791666666666666,0.2916666666666667
Baseline,P00022,Electronics,Seasonal,0.9854822170651412,0.012328767123287671,269,441.7739726027397,17.404878838577368,24,18264,0.041666666666666664,9.5,0.041666666666666664
Baseline,P00023,Home Appliances,Seasonal,0.973431790499391,0.0273972602739726,349,289.758904109589,16.102618757612664,24,12960,0.041666666666666664,11.0,0.125
Baseline,P00024,Home Appliances,Stable,0.9873660030627871,0.015068493150684932,33,58.43287671232877,16.330781010719754,24,2568,0.041666666666666664,7.375,0.041666666666666664
Baseline,P00025,Personal Care,Seasonal,0.9829326223063483,0.019178082191780823,3751,5004.742465753425,16.623571272568434,24,216768,0.125,10.333333333333334,0.3333333333333333
Baseline,P00026,Office Supplies,Trending,0.9554591612361572,0.04657534246575343,11141,5405.046575342466,15.774533242713789,23,236417,0.13043478260869565,9.217391304347826,0.34782608695652173
Baseline,P00027,Electronics,Trending,0.9570923199817414,0.049315068493150684,376,186.96027397260275,15.574689033436037,23,8280,0.21739130434782608,9.652173913043478,0.5217391304347826
Baseline,P00028,Personal Care,Stable,0.9762536280419737,0.030136986301369864,2659,2365.06301369863,15.41858450546997,24,110448,0.08333333333333333,8.125,0.08333333333333333
Baseline,P00029,Personal Care,Trending,0.9843091113649441,0.019178082191780823,3654,5132.772602739726,16.089919870831437,24,229680,0.08333333333333333,8.333333333333334,0.20833333333333334
Baseline,P00030,Electronics,Volatile,0.9480867005619481,0.04794520547945205,388,170.64657534246575,16.667380251538667,23,7061,0.17391304347826086,16.08695652173913,0.6956521739130435
Baseline,P00031,Personal Care,Seasonal,0.9784384649316277,0.026027397260273973,1222,1260.5054794520547,16.235888839876488,24,55896,0.125,10.708333333333334,0.25
Baseline,P00032,Electronics,Volatile,0.9910358565737052,0.012328767123287671,36,92.26712328767124,16.771663346613547,24,3960,0.125,15.25,0.25
Baseline,P00033,Electronics,Stable,0.9674110620618022,0.03424657534246575,251,165.46575342465752,15.682939496234743,23,7291,0.13043478260869565,8.173913043478262,0.21739130434782608
Baseline,P00034,Accessories,Volatile,0.9536724735445136,0.04657534246575343,7994,3992.405479452055,16.890109762740938,23,163093,0.13043478260869565,15.391304347826088,0.6086956521739131
Baseline,P00035,Accessories,Volatile,0.9924662149515218,0.010958904109589041,805,2510.0849315068494,17.14859806086924,24,105384,0.08333333333333333,14.583333333333334,0.25
Baseline,P00036,Accessories,Volatile,0.9815541891991999,0.023287671232876714,996,1234.5972602739726,16.691162308319136,24,53256,0.08333333333333333,15.125,0.2916666666666667
Baseline,P00037,Home Appliances,Seasonal,0.9829233584061802,0.01643835616438356,84,112.84383561643835,16.746493189672698,24,4848,0.08333333333333333,10.041666666666666,0.125
Baseline,P00038,Electronics,Trending,0.9739403453689168,0.024657534246575342,249,213.62191780821917,16.320669806384092,23,9039,0.0,8.391304347826088,0.0
Baseline,P00039,Office Supplies,Intermittent,0.9859473320174773,0.005479452054794521,1666,4123.460273972602,25.390336892892687,24,116928,0.041666666666666664,18.625,0.16666666666666666
Baseline,P00040,Home Appliances,Volatile,0.9509597248418951,0.057534246575342465,442,196.67397260273972,15.92943526017974,23,8510,0.17391304347826086,16.347826086956523,0.6086956521739131
Baseline,P00041,Electronics,Stable,0.9965233881163085,0.005479452054794521,77,504.786301369863,16.6378002528445,24,21840,0.0,6.916666666666667,0.0
Baseline,P00042,Personal Care,Stable,0.9871189464295084,0.01643835616438356,1473,2500.746575342466,15.963980271787609,24,112776,0.0,7.25,0.0
Baseline,P00043,Electronics,Volatile,0.9578862117837619,0.03972602739726028,208,117.04383561643836,17.29945333063373,23,4669,0.21739130434782608,15.0,0.8260869565217391
Baseline,P00044,Accessories,Trending,0.9834257721610332,0.019178082191780823,3583,4862.128767123288,16.418588299511054,24,213216,0.20833333333333334,8.25,0.4583333333333333
Baseline,P00045,Home Appliances,Seasonal,0.9765852769679301,0.023287671232876714,257,249.63835616438357,16.60313411078717,24,10824,0.0,10.375,0.0
Baseline,P00046,Office Supplies,Stable,0.9862927696976038,0.019178082191780823,3668,5709.960273972602,15.576731341275654,24,263928,0.041666666666666664,7.583333333333333,0.08333333333333333
Baseline,P00047,Home Appliances,Volatile,0.9698321453207633,0.03424657534246575,656,500.42739726027395,16.79981604966659,24,21456,0.2916666666666667,15.5,1.125
Baseline,P00048,Personal Care,Trending,0.9765946925993078,0.0273972602739726,710,650.5479452054794,15.655183781110928,24,29928,0.0,9.0,0.0
Baseline,P00049,Personal Care,Seasonal,0.9712095352676198,0.028767123287671233,1029,775.6424657534246,15.842281973084132,24,35256,0.16666666666666666,11.416666666666666,0.4583333333333333
Baseline,P00050,Electronics,Stable,0.9858078602620087,0.01643835616438356,234,354.65890410958906,15.70238961669093,24,16272,0.041666666666666664,7.708333333333333,0.08333333333333333
Baseline,P00051,Accessories,Trending,0.9761057380627919,0.024657534246575342,1806,1653.4876712328767,15.969808025614226,24,74544,0.125,8.833333333333334,0.2916666666666667
Baseline,P00052,Office Supplies,Trending,0.9760242904485957,0.030136986301369864,2590,2362.468493150685,15.964693684853646,24,106536,0.16666666666666666,8.791666666666666,0.375
Baseline,P00053,Accessories,Stable,0.9852712654550368,0.01780821917808219,218,320.0794520547945,15.786636038105533,24,14592,0.041666666666666664,7.625,0.08333333333333333
Baseline,P00054,Accessories,Trending,0.9822355834927576,0.02054794520547945,260,334.0123287671233,16.659538125170812,24,14424,0.041666666666666664,8.166666666666666,0.08333333333333333
Baseline,P00055,Personal Care,Stable,0.9886755713456086,0.015068493150684932,1989,3739.0794520547947,15.540646101640876,24,173232,0.041666666666666664,7.666666666666667,0.08333333333333333
Baseline,P00056,Accessories,Trending,0.980046198456775,0.021917808219178082,812,905.1917808219179,16.2380203469799,24,40128,0.08333333333333333,8.583333333333334,0.08333333333333333
Baseline,P00057,Electronics,Stable,0.9881914232442511,0.01780821917808219,133,243.01780821917808,15.750954452632515,24,11112,0.041666666666666664,7.833333333333333,0.041666666666666664
Baseline,P00058,Electronics,Trending,0.9971306471306471,0.005479452054794521,47,361.458904109589,16.108974358974358,24,16152,0.125,8.375,0.25
Baseline,P00059,Electronics,Seasonal,0.9733608571709427,0.0273972602739726,271,234.3013698630137,16.813132802516463,24,10032,0.08333333333333333,10.416666666666666,0.16666666666666666
Baseline,P00060,Home Appliances,Volatile,0.9471130519165454,0.052054794520547946,109,47.891780821917806,16.96312469674915,23,1955,0.21739130434782608,15.565217391304348,0.8695652173913043
Baseline,P00061,Home Appliances,Volatile,0.9653109391294802,0.038356164383561646,632,419.32602739726025,16.801580767330808,24,17976,0.041666666666666664,15.541666666666666,0.08333333333333333
Baseline,P00062,Home Appliances,Seasonal,0.9729570840681951,0.0273972602739726,46,40.14520547945205,17.228689006466784,24,1680,0.125,9.916666666666666,0.4166666666666667
Baseline,P00063,Accessories,Trending,0.9964844717079746,0.009589041095890411,639,4169.67397260274,16.746139245729378,24,179280,0.041666666666666664,7.625,0.08333333333333333
Baseline,P00064,Home Appliances,Volatile,0.9660751054024904,0.04246575342465753,692,449.7479452054794,16.095499558780272,24,20112,0.16666666666666666,15.875,0.5
Baseline,P00065,Home Appliances,Volatile,0.9672005370672293,0.036986301369863014,342,238.84383561643835,16.721588184520954,24,10296,0.20833333333333334,15.458333333333334,0.8333333333333334
Baseline,P00066,Personal Care,Stable,0.9808953136299698,0.0273972602739726,2404,2656.7671232876714,15.412809040553752,24,124104,0.125,7.916666666666667,0.125
Baseline,P00067,Electronics,Stable,0.9841921397379912,0.019178082191780823,181,249.36301369863014,15.89825327510917,24,11304,0.08333333333333333,7.666666666666667,0.16666666666666666
Baseline,P00068,Accessories,Stable,0.9942692307692308,0.010958904109589041,447,1702.5301369863014,15.933935897435896,24,76920,0.041666666666666664,7.5,0.041666666666666664
Baseline,P00069,Electronics,Seasonal,0.9627678617092006,0.036986301369863014,728,431.02054794520546,16.091904055643635,23,18492,0.13043478260869565,11.173913043478262,0.21739130434782608
Baseline,P00070,Accessories,Volatile,0.9585288477231925,0.0547945205479452,8131,4010.758904109589,14.933154480169739,23,185311,0.21739130434782608,17.130434782608695,0.6086956521739131
Baseline,P00071,Office Supplies,Intermittent,0.9703247932217067,0.012328767123287671,1471,1528.7739726027398,22.5137179745814,24,48888,0.125,20.625,0.625
Baseline,P00072,Electronics,Stable,0.9912090978859973,0.0136986301369863,126,306.4931506849315,15.610130468150421,24,14136,0.08333333333333333,7.875,0.125
Baseline,P00073,Electronics,Volatile,0.949266162206084,0.050684931506849315,999,455.6095890410959,16.890711492560055,23,18607,0.21739130434782608,15.695652173913043,0.6956521739130435
Baseline,P00074,Accessories,Trending,0.963194763435921,0.043835616438356165,8333,4866.958904109589,15.692378361188648,23,213992,0.17391304347826086,9.26086956521739,0.391304347826087
Baseline,P00075,Office Supplies,Intermittent,0.9997014670760832,0.0013698630136986301,21,2372.6493150684933,24.62234163539179,25,72275,0.12,19.12,0.6
Baseline,P00076,Office Supplies,Trending,0.9798176614587083,0.023287671232876714,4485,4883.209589041096,16.041215170278637,24,219168,0.08333333333333333,8.5,0.16666666666666666
Baseline,P00077,Office Supplies,Trending,0.9763712910178676,0.026027397260273973,3519,3255.449315068493,15.95712050708727,24,146880,0.041666666666666664,8.666666666666666,0.08333333333333333
Baseline,P00078,Electronics,Trending,0.9671949870991522,0.03287671232876712,801,528.4945205479452,15.800507842896343,23,23069,0.043478260869565216,9.217391304347826,0.043478260869565216
Baseline,P00079,Home Appliances,Stable,0.9869310500225327,0.015068493150684932,58,96.0041095890411,15.79157278053177,24,4368,0.0,7.833333333333333,0.0
Baseline,P00080,Electronics,Volatile,0.9704705082697681,0.03287671232876712,391,322.45616438356166,17.777584774563856,24,13056,0.08333333333333333,14.458333333333334,0.3333333333333333
Baseline,P00081,Accessories,Trending,0.9800357368371556,0.021917808219178082,1486,1660.2493150684932,16.2828584095764,24,73416,0.0,8.333333333333334,0.0
Baseline,P00082,Personal Care,Seasonal,0.9855331427361288,0.01643835616438356,1093,1691.63698630137,16.34496770436256,24,74520,0.041666666666666664,10.291666666666666,0.041666666666666664
Baseline,P00083,Home Appliances,Stable,0.985062575696407,0.02054794520547945,148,211.8,15.60496568429552,24,9768,0.0,7.875,0.0
Baseline,P00084,Electronics,Seasonal,0.9736274824565426,0.026027397260273973,575,504.7068493150685,16.898408475897813,24,21504,0.041666666666666664,10.208333333333334,0.041666666666666664
Baseline,P00085,Home Appliances,Volatile,0.972285497342445,0.030136986301369864,73,59.223287671232875,16.41343963553531,24,2592,0.25,15.708333333333334,0.8333333333333334
Baseline,P00086,Home Appliances,Stable,0.9848875783265757,0.02054794520547945,205,292.23835616438356,15.726796903796535,24,13368,0.0,7.833333333333333,0.0
Baseline,P00087,Office Supplies,Intermittent,0.9675651740742791,0.015068493150684932,586,576.3904109589041,23.289145956716666,24,17808,0.25,20.125,0.9583333333333334
Baseline,P00088,Personal Care,Seasonal,0.963641962636009,0.038356164383561646,1771,1026.804109589041,15.38835967973722,23,46046,0.21739130434782608,11.73913043478261,0.5652173913043478
Baseline,P00089,Accessories,Stable,0.9919053335619962,0.0136986301369863,708,1908.3123287671233,15.927148002057965,24,86256,0.041666666666666664,7.458333333333333,0.08333333333333333
Baseline,P00090,Personal Care,Seasonal,0.9667967474364836,0.038356164383561646,4067,2581.3876712328765,15.384470315459474,23,115782,0.21739130434782608,11.826086956521738,0.6956521739130435
