product_id,product_name,category,subcategory,brand,demand_class,selling_price,unit_cost,base_daily_demand,gross_profit,gross_margin_pct
P00001,ComfortMax Microwaves 00001,Home Appliances,Microwaves,ComfortMax,Seasonal,64796.21,51145.03,29.41,13651.18,0.2107
P00002,UrbanGear Cables 00002,Accessories,Cables,UrbanGear,Stable,4054.64,2441.22,110.98,1613.42,0.3979
P00003,OfficePro Desk Accessories 00003,Office Supplies,Desk Accessories,OfficePro,Stable,4221.89,3380.25,265.91,841.64,0.1994
P00004,DermaX Oral Care 00004,Personal Care,Oral Care,DermaX,Seasonal,698.37,493.13,274.78,205.24,0.2939
P00005,Apex Audio 00005,Electronics,Audio,Apex,Seasonal,98201.94,60755.95,22.08,37445.99,0.3813
P00006,Vertex Laptops 00006,Electronics,Laptops,Vertex,Volatile,60028.81,48819.98,18.3,11208.83,0.1867
P00007,Zenith Audio 00007,Electronics,Audio,Zenith,Stable,101552.45,61671.43,24.34,39881.02,0.3927
P00008,CarryPro Chargers 00008,Accessories,Chargers,CarryPro,Stable,6452.66,3956.32,217.45,2496.34,0.3869
P00009,CarePlus Grooming 00009,Personal Care,Grooming,CarePlus,Trending,767.76,482.81,147.93,284.95,0.3711
P00010,WriteWell Storage 00010,Office Supplies,Storage,WriteWell,Intermittent,805.15,641.19,253.3,163.96,0.2036
P00011,Zenith Laptops 00011,Electronics,Laptops,Zenith,Volatile,59737.14,41307.41,12.81,18429.73,0.3085
P00012,CarryPro Cables 00012,Accessories,Cables,CarryPro,Trending,15000.0,9896.66,242.01,5103.34,0.3402
P00013,CarryPro Chargers 00013,Accessories,Chargers,CarryPro,Trending,4765.05,2875.67,177.32,1889.38,0.3965
P00014,Apex Smartphones 00014,Electronics,Smartphones,Apex,Volatile,53945.54,43420.44,4.33,10525.1,0.1951
P00015,Vertex Smartphones 00015,Electronics,Smartphones,Vertex,Volatile,59234.32,39005.42,26.16,20228.9,0.3415
P00016,Zenith Laptops 00016,Electronics,Laptops,Zenith,Trending,37389.66,28614.3,15.46,8775.36,0.2347
P00017,EverHome Microwaves 00017,Home Appliances,Microwaves,EverHome,Stable,16347.4,13177.53,3.93,3169.87,0.1939
P00018,DermaX Skincare 00018,Personal Care,Skincare,DermaX,Trending,478.94,356.65,173.92,122.29,0.2553
P00019,EverHome Refrigerators 00019,Home Appliances,Refrigerators,EverHome,Seasonal,66723.21,43472.91,13.68,23250.3,0.3485
P00020,HomePro Microwaves 00020,Home Appliances,Microwaves,HomePro,Stable,59592.76,43728.43,26.58,15864.33,0.2662
P00021,PureLife Grooming 00021,Personal Care,Grooming,PureLife,Seasonal,504.21,360.82,77.12,143.39,0.2844
P00022,Zenith TVs 00022,Electronics,TVs,Zenith,Seasonal,79527.47,47812.72,25.14,31714.75,0.3988
P00023,Arctic Microwaves 00023,Home Appliances,Microwaves,Arctic,Seasonal,113606.65,85230.28,17.62,28376.37,0.2498
P00024,HomePro Washing Machines 00024,Home Appliances,Washing Machines,HomePro,Stable,54859.18,38190.21,3.53,16668.97,0.3039
P00025,CarePlus Haircare 00025,Personal Care,Haircare,CarePlus,Seasonal,389.74,295.69,292.12,94.05,0.2413
P00026,OfficePro Desk Accessories 00026,Office Supplies,Desk Accessories,OfficePro,Trending,2133.08,1603.66,270.93,529.42,0.2482
P00027,Apex Smartphones 00027,Electronics,Smartphones,Apex,Trending,109714.99,74177.19,10.14,35537.8,0.3239
P00028,DermaX Skincare 00028,Personal Care,Skincare,DermaX,Stable,1000.0,615.53,151.43,384.47,0.3845
P00029,PureLife Grooming 00029,Personal Care,Grooming,PureLife,Trending,377.3,269.55,260.2,107.75,0.2856
P00030,Vertex Laptops 00030,Electronics,Laptops,Vertex,Volatile,82239.7,54105.5,10.54,28134.2,0.3421
P00031,PureLife Skincare 00031,Personal Care,Skincare,PureLife,Seasonal,673.8,557.7,73.95,116.1,0.1723
P00032,NovaTech TVs 00032,Electronics,TVs,NovaTech,Volatile,42722.73,34059.01,5.61,8663.72,0.2028
P00033,NovaTech TVs 00033,Electronics,TVs,NovaTech,Stable,78455.24,56838.24,10.34,21617.0,0.2755
P00034,TechMate Chargers 00034,Accessories,Chargers,TechMate,Volatile,3133.48,2647.78,197.21,485.7,0.155
P00035,ConnectX Cables 00035,Accessories,Cables,ConnectX,Volatile,2612.0,2055.09,123.19,556.91,0.2132
P00036,UrbanGear Cables 00036,Accessories,Cables,UrbanGear,Volatile,9408.33,6780.11,64.6,2628.22,0.2794
P00037,Arctic Washing Machines 00037,Home Appliances,Washing Machines,Arctic,Seasonal,48847.95,41338.05,6.65,7509.9,0.1537
P00038,Zenith Audio 00038,Electronics,Audio,Zenith,Trending,87500.65,68588.56,11.32,18912.09,0.2161
P00039,DeskMate Storage 00039,Office Supplies,Storage,DeskMate,Intermittent,2498.03,1802.31,471.76,695.72,0.2785
P00040,HomePro Air Conditioners 00040,Home Appliances,Air Conditioners,HomePro,Volatile,34233.24,24193.07,11.6,10040.17,0.2933
P00041,Vertex Audio 00041,Electronics,Audio,Vertex,Stable,75423.99,46654.42,29.67,28769.57,0.3814
P00042,Glow Grooming 00042,Personal Care,Grooming,Glow,Stable,262.45,180.74,155.86,81.71,0.3113
P00043,Zenith TVs 00043,Electronics,TVs,Zenith,Volatile,150000.0,111947.41,7.02,38052.59,0.2537
P00044,UrbanGear Mobile Accessories 00044,Accessories,Mobile Accessories,UrbanGear,Trending,3346.67,2066.27,223.87,1280.4,0.3826
P00045,ComfortMax Air Conditioners 00045,Home Appliances,Air Conditioners,ComfortMax,Seasonal,54683.72,35751.08,14.89,18932.64,0.3462
P00046,WriteWell Paper 00046,Office Supplies,Paper,WriteWell,Stable,1351.04,1080.83,363.55,270.21,0.2
P00047,HomePro Washing Machines 00047,Home Appliances,Washing Machines,HomePro,Volatile,86599.14,70776.56,29.54,15822.58,0.1827
P00048,CarePlus Haircare 00048,Personal Care,Haircare,CarePlus,Trending,450.82,307.03,34.05,143.79,0.319
P00049,Glow Grooming 00049,Personal Care,Grooming,Glow,Seasonal,402.91,286.08,47.07,116.83,0.29
P00050,Vertex Audio 00050,Electronics,Audio,Vertex,Stable,129308.22,84384.16,22.17,44924.06,0.3474
P00051,CarryPro Mobile Accessories 00051,Accessories,Mobile Accessories,CarryPro,Trending,7684.5,5112.49,77.64,2572.01,0.3347
P00052,DeskMate Writing 00052,Office Supplies,Writing,DeskMate,Trending,3442.6,2388.12,116.62,1054.48,0.3063
P00053,TechMate Bags 00053,Accessories,Bags,TechMate,Stable,4190.21,2528.39,19.45,1661.82,0.3966
P00054,UrbanGear Bags 00054,Accessories,Bags,UrbanGear,Trending,3250.01,2328.97,15.24,921.04,0.2834
P00055,PureLife Haircare 00055,Personal Care,Haircare,PureLife,Stable,586.54,481.97,236.86,104.57,0.1783
P00056,TechMate Bags 00056,Accessories,Bags,TechMate,Trending,6235.38,4008.92,42.26,2226.46,0.3571
P00057,Vertex Laptops 00057,Electronics,Laptops,Vertex,Stable,112858.94,88824.12,15.1,24034.82,0.213
P00058,Apex Smartphones 00058,Electronics,Smartphones,Apex,Trending,73871.93,48435.94,18.97,25435.99,0.3443
P00059,Apex TVs 00059,Electronics,TVs,Apex,Seasonal,87647.5,53528.36,13.99,34119.14,0.3893
P00060,ComfortMax Air Conditioners 00060,Home Appliances,Air Conditioners,ComfortMax,Volatile,23219.85,15692.0,2.76,7527.85,0.3242
P00061,Arctic Washing Machines 00061,Home Appliances,Washing Machines,Arctic,Volatile,120000.0,84119.1,23.94,35880.9,0.299
P00062,ComfortMax Refrigerators 00062,Home Appliances,Refrigerators,ComfortMax,Seasonal,55728.52,40955.08,2.29,14773.44,0.2651
P00063,CarryPro Mobile Accessories 00063,Accessories,Mobile Accessories,CarryPro,Trending,11474.19,8707.73,192.85,2766.46,0.2411
P00064,EverHome Refrigerators 00064,Home Appliances,Refrigerators,EverHome,Volatile,37239.95,28367.49,27.01,8872.46,0.2383
P00065,Arctic Air Conditioners 00065,Home Appliances,Air Conditioners,Arctic,Volatile,73983.58,51115.76,14.12,22867.82,0.3091
P00066,PureLife Oral Care 00066,Personal Care,Oral Care,PureLife,Stable,251.69,166.66,169.95,85.03,0.3378
P00067,Zenith Smartphones 00067,Electronics,Smartphones,Zenith,Stable,101648.28,69158.51,15.36,32489.77,0.3196
P00068,TechMate Bags 00068,Accessories,Bags,TechMate,Stable,6098.01,4880.83,103.41,1217.18,0.1996
P00069,NovaTech Audio 00069,Electronics,Audio,NovaTech,Seasonal,78869.31,57298.81,26.85,21570.5,0.2735
P00070,TechMate Mobile Accessories 00070,Accessories,Mobile Accessories,TechMate,Volatile,11476.85,7483.94,224.54,3992.91,0.3479
P00071,WriteWell Paper 00071,Office Supplies,Paper,WriteWell,Intermittent,1205.29,881.16,187.83,324.13,0.2689
P00072,Apex Smartphones 00072,Electronics,Smartphones,Apex,Stable,51397.16,36792.36,19.22,14604.8,0.2842
P00073,Vertex Smartphones 00073,Electronics,Smartphones,Vertex,Volatile,101969.37,67015.9,27.95,34953.47,0.3428
P00074,UrbanGear Bags 00074,Accessories,Bags,UrbanGear,Trending,15000.0,10270.26,240.89,4729.74,0.3153
P00075,OfficePro Writing 00075,Office Supplies,Writing,OfficePro,Intermittent,2324.24,1737.75,269.21,586.49,0.2523
P00076,PaperWorks Paper 00076,Office Supplies,Paper,PaperWorks,Trending,3599.96,2254.1,242.83,1345.86,0.3739
P00077,WriteWell Storage 00077,Office Supplies,Storage,WriteWell,Trending,2368.03,1916.58,160.99,451.45,0.1906
P00078,Vertex TVs 00078,Electronics,TVs,Vertex,Trending,150000.0,90168.13,28.85,59831.87,0.3989
P00079,HomePro Washing Machines 00079,Home Appliances,Washing Machines,HomePro,Stable,21557.08,17682.99,6.0,3874.09,0.1797
P00080,Vertex Smartphones 00080,Electronics,Smartphones,Vertex,Volatile,82027.17,69416.52,18.24,12610.65,0.1537
P00081,UrbanGear Cables 00081,Accessories,Cables,UrbanGear,Trending,2846.87,1786.4,77.81,1060.47,0.3725
P00082,Glow Haircare 00082,Personal Care,Haircare,Glow,Seasonal,122.24,96.42,98.12,25.82,0.2112
P00083,Arctic Air Conditioners 00083,Home Appliances,Air Conditioners,Arctic,Stable,73516.83,49078.0,13.34,24438.83,0.3324
P00084,Vertex Smartphones 00084,Electronics,Smartphones,Vertex,Seasonal,84265.84,54540.74,29.97,29725.1,0.3528
P00085,HomePro Refrigerators 00085,Home Appliances,Refrigerators,HomePro,Volatile,51838.6,32930.65,3.54,18907.95,0.3647
P00086,EverHome Microwaves 00086,Home Appliances,Microwaves,EverHome,Stable,57703.67,34743.46,18.2,22960.21,0.3979
P00087,WriteWell Paper 00087,Office Supplies,Paper,WriteWell,Intermittent,5000.0,3882.45,68.81,1117.55,0.2235
P00088,PureLife Skincare 00088,Personal Care,Skincare,PureLife,Seasonal,471.07,316.77,63.27,154.3,0.3276
P00089,UrbanGear Chargers 00089,Accessories,Chargers,UrbanGear,Stable,10253.53,8419.69,115.5,1833.84,0.1788
P00090,Glow Grooming 00090,Personal Care,Grooming,Glow,Seasonal,372.52,278.76,162.93,93.76,0.2517
P00091,Vertex Laptops 00091,Electronics,Laptops,Vertex,Trending,92519.32,59027.98,9.25,33491.34,0.362
P00092,PaperWorks Desk Accessories 00092,Office Supplies,Desk Accessories,PaperWorks,Intermittent,2188.68,1659.21,178.73,529.47,0.2419
P00093,OfficePro Paper 00093,Office Supplies,Paper,OfficePro,Trending,1973.74,1386.01,70.87,587.73,0.2978
P00094,PureLife Oral Care 00094,Personal Care,Oral Care,PureLife,Seasonal,1000.0,724.06,104.9,275.94,0.2759
P00095,DeskMate Writing 00095,Office Supplies,Writing,DeskMate,Stable,5000.0,3442.56,484.28,1557.44,0.3115
P00096,PureLife Skincare 00096,Personal Care,Skincare,PureLife,Stable,597.03,362.26,284.52,234.77,0.3932
P00097,DermaX Skincare 00097,Personal Care,Skincare,DermaX,Seasonal,138.02,115.39,113.77,22.63,0.164
P00098,ComfortMax Washing Machines 00098,Home Appliances,Washing Machines,ComfortMax,Stable,49522.72,34988.28,17.98,14534.44,0.2935
P00099,Apex Laptops 00099,Electronics,Laptops,Apex,Seasonal,150000.0,95136.42,27.47,54863.58,0.3658
P00100,Apex Laptops 00100,Electronics,Laptops,Apex,Volatile,67483.35,49239.52,2.17,18243.83,0.2703
P00101,Vertex Laptops 00101,Electronics,Laptops,Vertex,Stable,150000.0,124555.23,24.7,25444.77,0.1696
P00102,Glow Haircare 00102,Personal Care,Haircare,Glow,Trending,1000.0,709.87,285.54,290.13,0.2901
P00103,HomePro Refrigerators 00103,Home Appliances,Refrigerators,HomePro,Volatile,70134.55,53791.9,4.56,16342.65,0.233
P00104,CarePlus Haircare 00104,Personal Care,Haircare,CarePlus,Trending,331.9,269.26,65.21,62.64,0.1887
P00105,TechMate Bags 00105,Accessories,Bags,TechMate,Trending,1751.3,1116.88,240.58,634.42,0.3623
P00106,Vertex Smartphones 00106,Electronics,Smartphones,Vertex,Volatile,116836.54,84075.59,17.05,32760.95,0.2804
P00107,EverHome Washing Machines 00107,Home Appliances,Washing Machines,EverHome,Volatile,37719.74,23261.04,2.4,14458.7,0.3833
P00108,PaperWorks Writing 00108,Office Supplies,Writing,PaperWorks,Trending,2806.48,1819.99,151.09,986.49,0.3515
P00109,Vertex Audio 00109,Electronics,Audio,Vertex,Seasonal,36612.35,24777.67,14.6,11834.68,0.3232
P00110,Vertex Smartphones 00110,Electronics,Smartphones,Vertex,Volatile,66097.8,56100.09,21.4,9997.71,0.1513
P00111,Arctic Washing Machines 00111,Home Appliances,Washing Machines,Arctic,Seasonal,62756.9,46631.15,22.53,16125.75,0.257
P00112,Vertex Laptops 00112,Electronics,Laptops,Vertex,Seasonal,91052.3,72899.06,29.87,18153.24,0.1994
P00113,CarryPro Chargers 00113,Accessories,Chargers,CarryPro,Volatile,3867.68,2406.86,79.0,1460.82,0.3777
P00114,CarryPro Mobile Accessories 00114,Accessories,Mobile Accessories,CarryPro,Stable,15000.0,12095.31,139.17,2904.69,0.1936
P00115,CarePlus Grooming 00115,Personal Care,Grooming,CarePlus,Seasonal,384.44,299.28,169.33,85.16,0.2215
P00116,CarryPro Cables 00116,Accessories,Cables,CarryPro,Volatile,2764.52,1992.64,107.35,771.88,0.2792
P00117,UrbanGear Bags 00117,Accessories,Bags,UrbanGear,Trending,7071.93,5545.52,50.6,1526.41,0.2158
P00118,Apex TVs 00118,Electronics,TVs,Apex,Seasonal,79115.05,63096.93,29.37,16018.12,0.2025
P00119,ConnectX Chargers 00119,Accessories,Chargers,ConnectX,Stable,8313.67,5821.44,214.8,2492.23,0.2998
P00120,DermaX Grooming 00120,Personal Care,Grooming,DermaX,Trending,1000.0,827.77,159.53,172.23,0.1722
P00121,CarryPro Mobile Accessories 00121,Accessories,Mobile Accessories,CarryPro,Trending,6551.4,5473.42,154.78,1077.98,0.1645
P00122,UrbanGear Cables 00122,Accessories,Cables,UrbanGear,Stable,7027.11,5319.09,64.54,1708.02,0.2431
P00123,Arctic Microwaves 00123,Home Appliances,Microwaves,Arctic,Seasonal,31725.68,21250.94,17.23,10474.74,0.3302
P00124,Zenith Laptops 00124,Electronics,Laptops,Zenith,Volatile,126799.87,90192.53,21.46,36607.34,0.2887
P00125,Zenith Audio 00125,Electronics,Audio,Zenith,Trending,86562.21,64426.6,16.42,22135.61,0.2557
P00126,ComfortMax Air Conditioners 00126,Home Appliances,Air Conditioners,ComfortMax,Seasonal,47799.76,33869.1,29.73,13930.66,0.2914
P00127,TechMate Chargers 00127,Accessories,Chargers,TechMate,Trending,2407.87,1826.7,156.72,581.17,0.2414
P00128,CarryPro Cables 00128,Accessories,Cables,CarryPro,Stable,15000.0,9239.45,99.03,5760.55,0.384
P00129,Apex Audio 00129,Electronics,Audio,Apex,Volatile,37101.97,31027.4,23.62,6074.57,0.1637
P00130,Glow Oral Care 00130,Personal Care,Oral Care,Glow,Stable,385.74,262.94,67.73,122.8,0.3183
P00131,Arctic Air Conditioners 00131,Home Appliances,Air Conditioners,Arctic,Seasonal,76252.02,47823.69,12.77,28428.33,0.3728
P00132,NovaTech Smartphones 00132,Electronics,Smartphones,NovaTech,Volatile,37801.29,24534.13,11.71,13267.16,0.351
P00133,Vertex Audio 00133,Electronics,Audio,Vertex,Trending,31632.09,25431.88,14.09,6200.21,0.196
P00134,Arctic Microwaves 00134,Home Appliances,Microwaves,Arctic,Stable,17195.86,13344.3,23.89,3851.56,0.224
P00135,CarryPro Cables 00135,Accessories,Cables,CarryPro,Stable,11636.49,7805.04,126.2,3831.45,0.3293
P00136,Arctic Refrigerators 00136,Home Appliances,Refrigerators,Arctic,Stable,44341.69,36756.26,24.23,7585.43,0.1711
P00137,CarePlus Grooming 00137,Personal Care,Grooming,CarePlus,Trending,1000.0,647.03,181.42,352.97,0.353
P00138,DeskMate Writing 00138,Office Supplies,Writing,DeskMate,Trending,1390.45,931.98,190.77,458.47,0.3297
P00139,Arctic Air Conditioners 00139,Home Appliances,Air Conditioners,Arctic,Volatile,35380.7,23620.1,24.68,11760.6,0.3324
P00140,UrbanGear Mobile Accessories 00140,Accessories,Mobile Accessories,UrbanGear,Stable,5377.97,4436.5,67.19,941.47,0.1751
P00141,UrbanGear Chargers 00141,Accessories,Chargers,UrbanGear,Trending,8735.79,5857.87,63.85,2877.92,0.3294
P00142,EverHome Microwaves 00142,Home Appliances,Microwaves,EverHome,Stable,46382.17,31541.98,16.13,14840.19,0.32
P00143,DermaX Haircare 00143,Personal Care,Haircare,DermaX,Trending,794.19,510.08,93.04,284.11,0.3577
P00144,Arctic Air Conditioners 00144,Home Appliances,Air Conditioners,Arctic,Stable,34188.32,28704.55,2.25,5483.77,0.1604
P00145,HomePro Microwaves 00145,Home Appliances,Microwaves,HomePro,Seasonal,26845.07,22663.21,20.15,4181.86,0.1558
P00146,Apex Audio 00146,Electronics,Audio,Apex,Seasonal,26346.86,19937.94,16.31,6408.92,0.2433
P00147,DermaX Skincare 00147,Personal Care,Skincare,DermaX,Seasonal,144.86,117.74,144.74,27.12,0.1872
P00148,CarePlus Oral Care 00148,Personal Care,Oral Care,CarePlus,Stable,403.06,286.34,290.75,116.72,0.2896
P00149,Zenith Laptops 00149,Electronics,Laptops,Zenith,Volatile,64695.38,40154.01,17.99,24541.37,0.3793
P00150,Arctic Microwaves 00150,Home Appliances,Microwaves,Arctic,Seasonal,42105.36,31668.71,26.18,10436.65,0.2479
P00151,UrbanGear Mobile Accessories 00151,Accessories,Mobile Accessories,UrbanGear,Trending,15000.0,9581.44,43.47,5418.56,0.3612
P00152,Zenith Laptops 00152,Electronics,Laptops,Zenith,Stable,150000.0,127490.97,17.94,22509.03,0.1501
P00153,NovaTech TVs 00153,Electronics,TVs,NovaTech,Trending,63395.71,51215.58,26.3,12180.13,0.1921
P00154,CarePlus Skincare 00154,Personal Care,Skincare,CarePlus,Stable,187.46,157.92,183.27,29.54,0.1576
P00155,ConnectX Bags 00155,Accessories,Bags,ConnectX,Trending,5373.74,4126.83,182.32,1246.91,0.232
P00156,NovaTech Audio 00156,Electronics,Audio,NovaTech,Stable,54075.71,33686.6,12.42,20389.11,0.377
P00157,WriteWell Writing 00157,Office Supplies,Writing,WriteWell,Trending,1702.27,1405.67,73.45,296.6,0.1742
P00158,OfficePro Storage 00158,Office Supplies,Storage,OfficePro,Stable,1661.32,1160.26,245.21,501.06,0.3016
P00159,Apex Laptops 00159,Electronics,Laptops,Apex,Trending,52363.0,38598.13,13.05,13764.87,0.2629
P00160,DeskMate Paper 00160,Office Supplies,Paper,DeskMate,Intermittent,2002.34,1232.21,437.52,770.13,0.3846
P00161,Arctic Air Conditioners 00161,Home Appliances,Air Conditioners,Arctic,Seasonal,42001.8,34415.02,8.83,7586.78,0.1806
P00162,CarePlus Haircare 00162,Personal Care,Haircare,CarePlus,Stable,623.23,496.71,290.69,126.52,0.203
P00163,DermaX Skincare 00163,Personal Care,Skincare,DermaX,Seasonal,682.76,575.3,288.28,107.46,0.1574
P00164,PureLife Grooming 00164,Personal Care,Grooming,PureLife,Trending,318.47,236.15,89.34,82.32,0.2585
P00165,Apex Laptops 00165,Electronics,Laptops,Apex,Seasonal,150000.0,117081.27,11.75,32918.73,0.2195
P00166,TechMate Cables 00166,Accessories,Cables,TechMate,Trending,4193.39,2652.42,224.93,1540.97,0.3675
P00167,Arctic Microwaves 00167,Home Appliances,Microwaves,Arctic,Volatile,23297.75,16279.65,29.07,7018.1,0.3012
P00168,Zenith Audio 00168,Electronics,Audio,Zenith,Stable,97392.07,67831.37,14.42,29560.7,0.3035
P00169,Vertex Smartphones 00169,Electronics,Smartphones,Vertex,Trending,47457.43,34028.04,10.99,13429.39,0.283
P00170,Glow Haircare 00170,Personal Care,Haircare,Glow,Trending,666.94,551.58,167.31,115.36,0.173
P00171,OfficePro Storage 00171,Office Supplies,Storage,OfficePro,Stable,596.93,440.98,353.25,155.95,0.2613
P00172,NovaTech TVs 00172,Electronics,TVs,NovaTech,Seasonal,150000.0,90018.56,9.66,59981.44,0.3999
P00173,DermaX Haircare 00173,Personal Care,Haircare,DermaX,Stable,823.28,527.88,226.21,295.4,0.3588
P00174,NovaTech TVs 00174,Electronics,TVs,NovaTech,Volatile,31500.14,19739.1,3.45,11761.04,0.3734
P00175,PureLife Grooming 00175,Personal Care,Grooming,PureLife,Stable,226.48,145.9,33.8,80.58,0.3558
P00176,NovaTech TVs 00176,Electronics,TVs,NovaTech,Seasonal,150000.0,123635.94,12.82,26364.06,0.1758
P00177,PaperWorks Paper 00177,Office Supplies,Paper,PaperWorks,Stable,1622.25,1286.67,196.13,335.58,0.2069
P00178,ComfortMax Air Conditioners 00178,Home Appliances,Air Conditioners,ComfortMax,Seasonal,37282.58,31661.1,10.84,5621.48,0.1508
P00179,UrbanGear Chargers 00179,Accessories,Chargers,UrbanGear,Trending,1938.5,1500.64,127.84,437.86,0.2259
P00180,NovaTech TVs 00180,Electronics,TVs,NovaTech,Trending,62790.95,51667.42,10.98,11123.53,0.1772
P00181,EverHome Air Conditioners 00181,Home Appliances,Air Conditioners,EverHome,Stable,53645.92,39258.17,7.38,14387.75,0.2682
P00182,Apex Smartphones 00182,Electronics,Smartphones,Apex,Trending,119053.6,81041.94,10.67,38011.66,0.3193
P00183,UrbanGear Cables 00183,Accessories,Cables,UrbanGear,Trending,3261.22,2059.05,243.98,1202.17,0.3686
P00184,ConnectX Cables 00184,Accessories,Cables,ConnectX,Trending,3032.46,2009.6,108.67,1022.86,0.3373
P00185,EverHome Microwaves 00185,Home Appliances,Microwaves,EverHome,Seasonal,80609.36,49603.26,14.45,31006.1,0.3846
P00186,OfficePro Storage 00186,Office Supplies,Storage,OfficePro,Trending,4619.47,3864.3,300.98,755.17,0.1635
P00187,UrbanGear Chargers 00187,Accessories,Chargers,UrbanGear,Trending,2941.31,2491.16,246.0,450.15,0.153
P00188,Glow Grooming 00188,Personal Care,Grooming,Glow,Stable,1000.0,684.67,87.65,315.33,0.3153
P00189,Glow Grooming 00189,Personal Care,Grooming,Glow,Trending,562.53,437.46,210.76,125.07,0.2223
P00190,Zenith Audio 00190,Electronics,Audio,Zenith,Trending,149210.96,117373.03,22.05,31837.93,0.2134
P00191,Zenith Audio 00191,Electronics,Audio,Zenith,Seasonal,74302.58,57010.75,19.01,17291.83,0.2327
P00192,ConnectX Bags 00192,Accessories,Bags,ConnectX,Stable,1662.26,1300.8,31.26,361.46,0.2175
P00193,TechMate Mobile Accessories 00193,Accessories,Mobile Accessories,TechMate,Stable,6892.04,4977.02,172.45,1915.02,0.2779
P00194,Glow Skincare 00194,Personal Care,Skincare,Glow,Stable,1000.0,739.96,37.95,260.04,0.26
P00195,HomePro Refrigerators 00195,Home Appliances,Refrigerators,HomePro,Stable,35973.75,25969.19,18.69,10004.56,0.2781
P00196,Arctic Microwaves 00196,Home Appliances,Microwaves,Arctic,Seasonal,48728.21,33223.95,22.71,15504.26,0.3182
P00197,WriteWell Desk Accessories 00197,Office Supplies,Desk Accessories,WriteWell,Trending,2271.77,1711.14,129.16,560.63,0.2468
P00198,CarryPro Bags 00198,Accessories,Bags,CarryPro,Volatile,1325.57,1043.45,211.99,282.12,0.2128
P00199,ConnectX Cables 00199,Accessories,Cables,ConnectX,Volatile,15000.0,12126.75,17.28,2873.25,0.1916
P00200,WriteWell Desk Accessories 00200,Office Supplies,Desk Accessories,WriteWell,Stable,1470.23,1121.24,426.59,348.99,0.2374
P00201,CarePlus Grooming 00201,Personal Care,Grooming,CarePlus,Seasonal,744.98,495.08,148.89,249.9,0.3354
P00202,Zenith Laptops 00202,Electronics,Laptops,Zenith,Volatile,73571.47,48617.78,8.09,24953.69,0.3392
P00203,Apex Audio 00203,Electronics,Audio,Apex,Seasonal,150000.0,102491.05,5.75,47508.95,0.3167
P00204,UrbanGear Chargers 00204,Accessories,Chargers,UrbanGear,Stable,9632.87,7624.35,238.79,2008.52,0.2085
P00205,CarePlus Haircare 00205,Personal Care,Haircare,CarePlus,Stable,477.69,335.81,40.35,141.88,0.297
P00206,NovaTech Audio 00206,Electronics,Audio,NovaTech,Volatile,45339.06,32069.57,7.57,13269.49,0.2927
P00207,Zenith Audio 00207,Electronics,Audio,Zenith,Seasonal,125084.36,91178.17,11.74,33906.19,0.2711
P00208,DeskMate Writing 00208,Office Supplies,Writing,DeskMate,Trending,820.51,584.62,321.51,235.89,0.2875
P00209,Apex Audio 00209,Electronics,Audio,Apex,Seasonal,114184.11,83017.82,17.25,31166.29,0.2729
P00210,Zenith Laptops 00210,Electronics,Laptops,Zenith,Seasonal,40078.94,28401.38,5.52,11677.56,0.2914
P00211,PureLife Oral Care 00211,Personal Care,Oral Care,PureLife,Trending,1000.0,671.12,101.12,328.88,0.3289
P00212,DeskMate Storage 00212,Office Supplies,Storage,DeskMate,Trending,2781.58,2288.11,142.21,493.47,0.1774
P00213,OfficePro Desk Accessories 00213,Office Supplies,Desk Accessories,OfficePro,Stable,3716.25,2462.36,130.37,1253.89,0.3374
P00214,Apex Smartphones 00214,Electronics,Smartphones,Apex,Stable,81407.81,66431.09,13.51,14976.72,0.184
P00215,WriteWell Desk Accessories 00215,Office Supplies,Desk Accessories,WriteWell,Intermittent,882.33,735.28,360.89,147.05,0.1667
P00216,Apex TVs 00216,Electronics,TVs,Apex,Trending,46239.78,28020.39,8.09,18219.39,0.394
P00217,EverHome Washing Machines 00217,Home Appliances,Washing Machines,EverHome,Stable,92062.78,56227.53,12.27,35835.25,0.3892
P00218,PaperWorks Desk Accessories 00218,Office Supplies,Desk Accessories,PaperWorks,Intermittent,2790.54,2329.8,213.73,460.74,0.1651
P00219,PureLife Grooming 00219,Personal Care,Grooming,PureLife,Trending,1000.0,739.19,293.41,260.81,0.2608
P00220,CarryPro Chargers 00220,Accessories,Chargers,CarryPro,Volatile,9616.81,7726.52,239.12,1890.29,0.1966
P00221,OfficePro Paper 00221,Office Supplies,Paper,OfficePro,Stable,1413.71,1030.12,406.06,383.59,0.2713
P00222,PureLife Grooming 00222,Personal Care,Grooming,PureLife,Stable,341.14,219.17,87.66,121.97,0.3575
P00223,Vertex Smartphones 00223,Electronics,Smartphones,Vertex,Trending,82436.51,50479.75,3.91,31956.76,0.3877
P00224,Arctic Air Conditioners 00224,Home Appliances,Air Conditioners,Arctic,Volatile,15342.25,10608.2,10.87,4734.05,0.3086
P00225,EverHome Microwaves 00225,Home Appliances,Microwaves,EverHome,Seasonal,120000.0,91382.83,9.47,28617.17,0.2385
P00226,NovaTech Audio 00226,Electronics,Audio,NovaTech,Stable,101020.75,70630.54,16.17,30390.21,0.3008
P00227,TechMate Bags 00227,Accessories,Bags,TechMate,Stable,15000.0,11580.0,196.65,3420.0,0.228
