product_id,demand_class,behavioral_class,selected_model,validation_wape,validation_mae,validation_rmse,validation_mape,validation_bias,validation_windows,history_days,total_demand,average_daily_demand,demand_std,zero_demand_rate,forecast_start,forecast_end,forecast_rows,model_version,registry_stage,model_family,training_data_sha256,training_code_sha256,forecast_artifact_sha256,registered_at_utc,retrain_policy
P00001,Seasonal,Continuous,HoltWinters7,0.0745844029853455,1.99485734007599,2.501408840195921,0.0751164378515475,-0.0287346613103739,3,730,22097.0,30.26986301369863,6.74113114318188,0.0,2027-01-01,2027-01-30,30,a58372ac2ca6ad29,champion,statistical_time_series,ee9337aec15801078ae846c220deae798260be99c1911177cfa255de07f2ac31,569c930a5d6404786c64525966c64495b6d0742f44d037db4a1f2dc5c1501efd,90b7082afc2bf855f143a39394b21680803305adba5dd3a2f15c89aa57e52e9b,2026-08-28T10:56:47.623739+00:00,drift_or_scheduled
P00002,Stable,Continuous,HoltWinters7,0.078932446328356,9.319482264648352,11.482766048501276,0.0790951800918016,-0.001066950969636,3,730,84341.0,115.53561643835616,14.645775149483276,0.0,2027-01-01,2027-01-30,30,b395fb96d05c269f,champion,statistical_time_series,ee9337aec15801078ae846c220deae798260be99c1911177cfa255de07f2ac31,569c930a5d6404786c64525966c64495b6d0742f44d037db4a1f2dc5c1501efd,90b7082afc2bf855f143a39394b21680803305adba5dd3a2f15c89aa57e52e9b,2026-08-28T10:56:47.623739+00:00,drift_or_scheduled
P00003,Stable,Continuous,HoltWinters7,0.0483723259738505,12.402767524743547,15.367540636407917,0.0477110980217676,-0.0303943995061267,3,730,196899.0,269.7246575342466,28.876294884578893,0.0,2027-01-01,2027-01-30,30,3550b3ca4b8371e5,champion,statistical_time_series,ee9337aec15801078ae846c220deae798260be99c1911177cfa255de07f2ac31,569c930a5d6404786c64525966c64495b6d0742f44d037db4a1f2dc5c1501efd,90b7082afc2bf855f143a39394b21680803305adba5dd3a2f15c89aa57e52e9b,2026-08-28T10:56:47.623739+00:00,drift_or_scheduled
P00004,Seasonal,Continuous,HoltWinters7,0.06979418351093,18.332118029801613,22.049539275874896,0.0705617817488694,-0.0400121162409533,3,730,209295.0,286.7054794520548,56.08593345506197,0.0,2027-01-01,2027-01-30,30,68425ea1e6d586b7,champion,statistical_time_series,ee9337aec15801078ae846c220deae798260be99c1911177cfa255de07f2ac31,569c930a5d6404786c64525966c64495b6d0742f44d037db4a1f2dc5c1501efd,90b7082afc2bf855f143a39394b21680803305adba5dd3a2f15c89aa57e52e9b,2026-08-28T10:56:47.623739+00:00,drift_or_scheduled
P00005,Seasonal,Continuous,HoltWinters7,0.1551840655425879,3.468285382090474,4.068952166817812,0.154799921350372,-0.0385337439897245,3,730,16277.0,22.297260273972604,5.226619441153588,0.0,2027-01-01,2027-01-30,30,5357d95a9f1f16e0,champion,statistical_time_series,ee9337aec15801078ae846c220deae798260be99c1911177cfa255de07f2ac31,569c930a5d6404786c64525966c64495b6d0742f44d037db4a1f2dc5c1501efd,90b7082afc2bf855f143a39394b21680803305adba5dd3a2f15c89aa57e52e9b,2026-08-28T10:56:47.623739+00:00,drift_or_scheduled
P00006,Volatile,Continuous,SES,0.2335135412270792,4.037880370233199,5.453470138993207,0.2209352740892856,-0.0944642973998341,3,730,13055.0,17.883561643835616,4.815256780246147,0.0,2027-01-01,2027-01-30,30,cd7086fe3729cc78,champion,statistical_time_series,ee9337aec15801078ae846c220deae798260be99c1911177cfa255de07f2ac31,569c930a5d6404786c64525966c64495b6d0742f44d037db4a1f2dc5c1501efd,90b7082afc2bf855f143a39394b21680803305adba5dd3a2f15c89aa57e52e9b,2026-08-28T10:56:47.623739+00:00,drift_or_scheduled
P00007,Stable,Continuous,HoltWinters7,0.1397153568281932,3.8601780904952014,4.582627084552175,0.1423687358384765,-0.0368201924720766,3,730,18110.0,24.80821917808219,4.3501021990945485,0.0,2027-01-01,2027-01-30,30,ccb7b96e39441b85,champion,statistical_time_series,ee9337aec15801078ae846c220deae798260be99c1911177cfa255de07f2ac31,569c930a5d6404786c64525966c64495b6d0742f44d037db4a1f2dc5c1501efd,90b7082afc2bf855f143a39394b21680803305adba5dd3a2f15c89aa57e52e9b,2026-08-28T10:56:47.623739+00:00,drift_or_scheduled
P00008,Stable,Continuous,HoltWinters7,0.0845491939205437,19.344425020370803,23.19552677454532,0.0837307329079097,-0.0254103117196071,3,730,164403.0,225.20958904109588,28.382574806436292,0.0,2027-01-01,2027-01-30,30,a353eb8d1ed29d5c,champion,statistical_time_series,ee9337aec15801078ae846c220deae798260be99c1911177cfa255de07f2ac31,569c930a5d6404786c64525966c64495b6d0742f44d037db4a1f2dc5c1501efd,90b7082afc2bf855f143a39394b21680803305adba5dd3a2f15c89aa57e52e9b,2026-08-28T10:56:47.623739+00:00,drift_or_scheduled
P00009,Trending,Continuous,HoltWinters7,0.0746228399607763,14.557295347386338,18.05700991916188,0.07250602409799,-0.0465654750699359,3,730,133387.0,182.7219178082192,30.718210157404062,0.0,2027-01-01,2027-01-30,30,7fb3f895c7dc1c5b,champion,statistical_time_series,ee9337aec15801078ae846c220deae798260be99c1911177cfa255de07f2ac31,569c930a5d6404786c64525966c64495b6d0742f44d037db4a1f2dc5c1501efd,90b7082afc2bf855f143a39394b21680803305adba5dd3a2f15c89aa57e52e9b,2026-08-28T10:56:47.623739+00:00,drift_or_scheduled
P00010,Intermittent,Intermittent,Croston,1.2534958072011169,119.2605659136655,125.61742882056316,0.6461283743296115,-0.0438119996110717,3,730,60603.0,83.01780821917808,122.99932956475337,0.6821917808219178,2027-01-01,2027-01-30,30,1dc4900fd90b9a20,champion,statistical_time_series,ee9337aec15801078ae846c220deae798260be99c1911177cfa255de07f2ac31,569c930a5d6404786c64525966c64495b6d0742f44d037db4a1f2dc5c1501efd,90b7082afc2bf855f143a39394b21680803305adba5dd3a2f15c89aa57e52e9b,2026-08-28T10:56:47.623739+00:00,drift_or_scheduled
